prenom,nbdenaissances
Léa,9 732 naissances
Lucas,9 316 naissances
Théo,8 687 naissances
Thomas,8 156 naissances
Manon,7 557 naissances
Hugo,7 243 naissances
Emma,6 520 naissances
Chloé,6 095 naissances
Maxime,6 037 naissances
Enzo,5 958 naissances
Océane,5 170 naissances
Antoine,5 088 naissances
Clément,5 056 naissances
Alexandre,5 030 naissances
Quentin,4 795 naissances
Clara,4 755 naissances
Marie,4 714 naissances
Sarah,4 625 naissances
Nicolas,4 598 naissances
Alexis,4 574 naissances
Inès,4 558 naissances
Romain,4 504 naissances
Léo,4 477 naissances
Louis,4 459 naissances
Tom,4 033 naissances
Lucie,3 987 naissances
Anaïs,3 937 naissances
Baptiste,3 919 naissances
Nathan,3 855 naissances
Valentin,3 849 naissances
Paul,3 849 naissances
Mathis,3 780 naissances
Mathilde,3 779 naissances
Julie,3 771 naissances
Laura,3 765 naissances
Arthur,3 673 naissances
Pauline,3 642 naissances
Julien,3 568 naissances
Lisa,3 464 naissances
Axel,3 287 naissances
Eva,3 243 naissances
Jade,3 211 naissances
Benjamin,3 109 naissances
Florian,3 106 naissances
Marine,3 062 naissances
Maeva,3 034 naissances
Pierre,2 911 naissances
Dylan,2 892 naissances
Adrien,2 855 naissances
Kevin,2 816 naissances
Justine,2 810 naissances
Mathieu,2 798 naissances
Corentin,2 685 naissances
Anthony,2 671 naissances
Juliette,2 628 naissances
Mattéo,2 491 naissances
Emilie,2 485 naissances
Victor,2 449 naissances
Célia,2 434 naissances
Jules,2 422 naissances
Charlotte,2 414 naissances
Lola,2 365 naissances
Amandine,2 333 naissances
Noémie,2 333 naissances
Louise,2 291 naissances
Yanis,2 282 naissances
Guillaume,2 268 naissances
Elisa,2 255 naissances
Clémence,2 228 naissances
Romane,2 205 naissances
Maxence,2 174 naissances
Morgane,2 147 naissances
Marion,2 145 naissances
Margaux,2 133 naissances
Mélissa,2 057 naissances
Alicia,2 035 naissances
Zoé,2 022 naissances
Jeanne,1 999 naissances
Simon,1 990 naissances
Raphaël,1 981 naissances
Dorian,1 972 naissances
Killian,1 929 naissances
Mathéo,1 907 naissances
Alice,1 862 naissances
Vincent,1 834 naissances
Gabriel,1 833 naissances
Samuel,1 811 naissances
Jérémy,1 806 naissances
Bastien,1 788 naissances
Amélie,1 760 naissances
Elise,1 758 naissances
