prenom,nbdenaissances
Thomas,9 386 naissances
Alexandre,8 866 naissances
Nicolas,8 846 naissances
Maxime,7 767 naissances
Manon,7 614 naissances
Marie,7 422 naissances
Laura,7 422 naissances
Camille,7 235 naissances
Kevin,7 023 naissances
Dylan,6 912 naissances
Quentin,6 766 naissances
Antoine,6 749 naissances
Julien,6 263 naissances
Marine,6 225 naissances
Léa,6 153 naissances
Florian,6 033 naissances
Pauline,5 959 naissances
Alexis,5 841 naissances
Valentin,5 775 naissances
Anthony,5 692 naissances
Chloé,5 649 naissances
Romain,5 526 naissances
Sarah,5 466 naissances
Guillaume,5 416 naissances
Julie,5 335 naissances
Clément,5 246 naissances
Mathilde,5 126 naissances
Anaïs,5 035 naissances
Pierre,4 983 naissances
Marion,4 834 naissances
Benjamin,4 782 naissances
Lucas,4 675 naissances
Océane,4 487 naissances
Vincent,4 458 naissances
Mélanie,4 275 naissances
Jérémy,4 050 naissances
Corentin,3 945 naissances
Ophélie,3 881 naissances
Justine,3 818 naissances
Mathieu,3 665 naissances
Adrien,3 627 naissances
Morgane,3 596 naissances
Hugo,3 567 naissances
Paul,3 562 naissances
Théo,3 435 naissances
Jordan,3 398 naissances
Charlotte,3 190 naissances
Elodie,3 166 naissances
Emilie,3 006 naissances
Mélissa,2 844 naissances
Amandine,2 771 naissances
Lucie,2 759 naissances
Louis,2 745 naissances
Baptiste,2 716 naissances
Audrey,2 682 naissances
Clara,2 622 naissances
Sébastien,2 587 naissances
Axel,2 569 naissances
Noémie,2 472 naissances
Margaux,2 471 naissances
Claire,2 469 naissances
Loïc,2 437 naissances
Victor,2 383 naissances
Arthur,2 371 naissances
Damien,2 333 naissances
Lisa,2 312 naissances
Juliette,2 282 naissances
Amélie,2 211 naissances
Maeva,2 184 naissances
Jonathan,2 179 naissances
Rémi,2 172 naissances
Simon,2 150 naissances
Thibault,2 139 naissances
Céline,2 080 naissances
Clémence,2 067 naissances
Raphaël,2 063 naissances
Matthieu,2 049 naissances
Aurélien,1 989 naissances
Aurélie,1 956 naissances
Caroline,1 943 naissances
David,1 941 naissances
Inès,1 938 naissances
Estelle,1 918 naissances
Elisa,1 907 naissances
Coralie,1 895 naissances
Alice,1 891 naissances
Bastien,1 889 naissances
Fanny,1 884 naissances
Mickael,1 875 naissances
Arnaud,1 818 naissances
Léo,1 812 naissances
Nathan,1 806 naissances
Alexandra,1 783 naissances
Louise,1 771 naissances
Robin,1 743 naissances
Sophie,1 731 naissances
Alexia,1 713 naissances
Christopher,1 646 naissances
Célia,1 624 naissances
Steven,1 603 naissances
Gaétan,1 581 naissances
Elise,1 570 naissances
Alicia,1 558 naissances
Emma,1 548 naissances
Bryan,1 544 naissances
François,1 540 naissances
Margot,1 531 naissances
Eva,1 528 naissances
Laëtitia,1 498 naissances
Benoit,1 487 naissances
Emeline,1 445 naissances
Charlène,1 425 naissances
Cédric,1 420 naissances
Florent,1 420 naissances
Maxence,1 390 naissances
Fabien,1 369 naissances
Solène,1 365 naissances
Thibaut,1 364 naissances
Charles,1 356 naissances
Cindy,1 352 naissances
Laurine,1 349 naissances
Jean,1 337 naissances
Dorian,1 336 naissances
Ludivine,1 318 naissances
Laurie,1 314 naissances
Samuel,1 311 naissances
Jason,1 296 naissances
Rémy,1 292 naissances
Jessica,1 289 naissances
Ludovic,1 286 naissances
Yann,1 254 naissances
Romane,1 248 naissances
Agathe,1 244 naissances
Tom,1 242 naissances
Valentine,1 240 naissances
Martin,1 233 naissances
Marina,1 215 naissances
Mehdi,1 191 naissances
Etienne,1 182 naissances
William,1 181 naissances
Tristan,1 171 naissances
Dimitri,1 159 naissances
Cécile,1 139 naissances
