prenom,nbdenaissances
Sébastien,19 285 naissances
Stéphanie,16 694 naissances
David,14 685 naissances
Frédéric,14 356 naissances
Christophe,13 106 naissances
Stéphane,12 479 naissances
Sandrine,12 084 naissances
Céline,10 626 naissances
Nicolas,10 238 naissances
Jérôme,10 009 naissances
Nathalie,9 341 naissances
Virginie,9 197 naissances
Olivier,9 185 naissances
Laurent,9 111 naissances
Christelle,8 251 naissances
Sophie,7 612 naissances
Cédric,7 603 naissances
Séverine,7 541 naissances
Karine,7 336 naissances
Isabelle,7 176 naissances
Delphine,6 902 naissances
Ludovic,6 631 naissances
Vincent,5 581 naissances
Valérie,5 473 naissances
Laëtitia,5 464 naissances
Sandra,5 427 naissances
Guillaume,5 054 naissances
Eric,4 946 naissances
Caroline,4 930 naissances
Arnaud,4 927 naissances
Marie,4 838 naissances
Fabrice,4 745 naissances
Franck,4 704 naissances
Cécile,4 559 naissances
Alexandre,4 486 naissances
Philippe,4 241 naissances
Michaël,4 236 naissances
Sylvie,4 232 naissances
Grégory,4 170 naissances
Julien,4 072 naissances
Emmanuel,3 956 naissances
Angélique,3 835 naissances
Mickael,3 752 naissances
Magali,3 739 naissances
Sylvain,3 683 naissances
Véronique,3 655 naissances
Cyril,3 649 naissances
Carole,3 639 naissances
Anne,3 477 naissances
Sonia,3 448 naissances
Alexandra,3 428 naissances
Fabien,3 419 naissances
Emmanuelle,3 337 naissances
Laurence,3 317 naissances
Audrey,3 243 naissances
Carine,3 226 naissances
Catherine,3 148 naissances
Florence,3 144 naissances
Benoit,3 118 naissances
Xavier,3 078 naissances
Pascal,2 969 naissances
Thierry,2 924 naissances
Aurélie,2 816 naissances
Yann,2 767 naissances
Jean,2 763 naissances
Hélène,2 739 naissances
François,2 685 naissances
Thomas,2 569 naissances
Sabrina,2 549 naissances
Yannick,2 546 naissances
Bruno,2 514 naissances
Damien,2 474 naissances
Pierre,2 444 naissances
Estelle,2 429 naissances
Christine,2 389 naissances
Anthony,2 304 naissances
Nadia,2 264 naissances
Géraldine,2 229 naissances
Nadège,2 204 naissances
Vanessa,2 197 naissances
Lionel,2 164 naissances
Samuel,2 150 naissances
Patricia,2 149 naissances
Patrick,2 079 naissances
Claire,2 038 naissances
Fabienne,2 019 naissances
Mathieu,1 993 naissances
Gaëlle,1 984 naissances
Marc,1 889 naissances
Corinne,1 887 naissances
Hervé,1 840 naissances
Peggy,1 835 naissances
Loïc,1 829 naissances
Patrice,1 817 naissances
Béatrice,1 803 naissances
Laure,1 748 naissances
Ingrid,1 720 naissances
Julie,1 718 naissances
Bertrand,1 715 naissances
Raphaël,1 664 naissances
Mélanie,1 641 naissances
Sabine,1 626 naissances
Michel,1 619 naissances
Cyrille,1 597 naissances
Myriam,1 546 naissances
Jean-François,1 529 naissances
Gilles,1 487 naissances
Fanny,1 478 naissances
Elodie,1 451 naissances
Benjamin,1 415 naissances
Frédérique,1 403 naissances
Matthieu,1 395 naissances
Didier,1 383 naissances
Antoine,1 377 naissances
Dominique,1 319 naissances
Muriel,1 314 naissances
Agnès,1 312 naissances
Natacha,1 304 naissances
Daniel,1 290 naissances
Magalie,1 274 naissances
Elisabeth,1 272 naissances
Karim,1 270 naissances
Christian,1 262 naissances
Alain,1 256 naissances
Tony,1 251 naissances
Katia,1 248 naissances
Cindy,1 238 naissances
Romain,1 218 naissances
Aurore,1 214 naissances
Régis,1 205 naissances
Jean-Philippe,1 169 naissances
Sarah,1 168 naissances
Gérald,1 147 naissances
Richard,1 142 naissances
Yoann,1 141 naissances
Emilie,1 136 naissances
Linda,1 112 naissances
Denis,1 111 naissances
Florent,1 079 naissances
Ludivine,1 079 naissances
Mohamed,1 016 naissances
Anne-Sophie,998 naissances
Maud,981 naissances
Cathy,971 naissances
Mikaël,963 naissances
Gwenaëlle,956 naissances
Marie-Laure,954 naissances
William,953 naissances
Marion,940 naissances
Aude,935 naissances
Aurélien,916 naissances
Aline,914 naissances
Lydie,912 naissances
José,900 naissances
Jean-Michel,898 naissances
Romuald,894 naissances
Manuel,892 naissances
Maria,889 naissances
Marjorie,884 naissances
Gaël,873 naissances
Bénédicte,865 naissances
Maxime,863 naissances
Christel,856 naissances
Karen,840 naissances
Jérémy,808 naissances
Rachel,801 naissances
Marina,798 naissances
Steve,788 naissances
Maryline,782 naissances
Joël,778 naissances
Nadine,767 naissances
Nelly,764 naissances
Sylvia,749 naissances
Pascale,739 naissances
Alexis,739 naissances
Barbara,724 naissances
Jean-Christophe,715 naissances
Jimmy,689 naissances
Murielle,682 naissances
Jean-Marc,680 naissances
Rodolphe,680 naissances
Johann,677 naissances
Jérémie,676 naissances
Charlotte,667 naissances
Erwan,662 naissances
Françoise,661 naissances
Rachid,652 naissances
Jean-Baptiste,649 naissances
Anne-Laure,625 naissances
Annabelle,621 naissances
Eddy,621 naissances
Yohann,617 naissances
Farid,608 naissances
Wilfried,606 naissances
Fatima,598 naissances
Amélie,597 naissances
Claude,594 naissances
Marianne,589 naissances
Malika,581 naissances
Willy,578 naissances
Coralie,571 naissances
Gaétan,563 naissances
Serge,563 naissances
Jean-Pierre,561 naissances
Armelle,559 naissances
Freddy,558 naissances
Martine,551 naissances
Lydia,545 naissances
Rémi,540 naissances
Alice,539 naissances
Mathilde,538 naissances
Renaud,537 naissances
Jean-Luc,531 naissances
Yves,531 naissances
Luc,529 naissances
Betty,525 naissances
Leïla,521 naissances
Dorothée,518 naissances
Charles,513 naissances
Elise,507 naissances
Johnny,506 naissances
Johan,504 naissances
Dimitri,504 naissances
Cynthia,494 naissances
Dominique,492 naissances
Samira,488 naissances
Juliette,484 naissances
Paul,474 naissances
Rémy,471 naissances
Blandine,470 naissances
Chrystelle,469 naissances
Jacques,463 naissances
Adeline,463 naissances
Martial,460 naissances
Marie-Pierre,458 naissances
Georges,458 naissances
Brigitte,458 naissances
Carlos,456 naissances
Etienne,448 naissances
Déborah,447 naissances
Karima,446 naissances
Samir,443 naissances
Joseph,442 naissances
Samia,439 naissances
Jean-Marie,439 naissances
Lucie,435 naissances
Brice,433 naissances
Kamel,429 naissances
Marlène,425 naissances
Morgane,422 naissances
Evelyne,418 naissances
Chantal,416 naissances
Marilyne,412 naissances
Manuella,411 naissances
Florian,409 naissances
Edwige,409 naissances
Stephan,405 naissances
Gwenaël,404 naissances
Boris,401 naissances
Aurélia,400 naissances
Jean-Charles,398 naissances
Olivia,393 naissances
Manuela,389 naissances
Antonio,388 naissances
Jennifer,388 naissances
Mehdi,386 naissances
Cécilia,379 naissances
Yvan,368 naissances
Marylène,366 naissances
Gabriel,365 naissances
Célia,363 naissances
Ali,358 naissances
Tatiana,355 naissances
Jean-Claude,355 naissances
Elsa,353 naissances
Katy,352 naissances
Ronan,351 naissances
Alban,350 naissances
Bernard,350 naissances
Joëlle,349 naissances
Hugues,349 naissances
Christèle,349 naissances
Thibaut,346 naissances
Davy,346 naissances
Miguel,343 naissances
Amandine,342 naissances
Jean-Louis,342 naissances
Mylène,340 naissances
Aymeric,339 naissances
Anita,338 naissances
Louis,338 naissances
Marie-Christine,337 naissances
Nora,333 naissances
Dalila,329 naissances
Victor,327 naissances
Antony,327 naissances
John,326 naissances
Jessica,326 naissances
Mathias,325 naissances
Edouard,323 naissances
André,317 naissances
Annie,316 naissances
Marie-Hélène,315 naissances
Alexia,315 naissances
Marine,312 naissances
Marielle,311 naissances
Francis,310 naissances
Mourad,308 naissances
Jonathan,308 naissances
Ahmed,304 naissances
Geoffrey,300 naissances
Pascaline,299 naissances
Anne-Marie,299 naissances
Pauline,297 naissances
Clément,296 naissances
Frank,295 naissances
Teddy,295 naissances
Gérard,294 naissances
Steeve,294 naissances
Gladys,291 naissances
Jean-Paul,291 naissances
Simon,289 naissances
Fatiha,288 naissances
Saïd,285 naissances
Camille,282 naissances
Dany,281 naissances
Grégoire,279 naissances
Johanna,278 naissances
Mireille,275 naissances
Abdelkader,273 naissances
Claudine,273 naissances
Naïma,272 naissances
Nordine,272 naissances
Eva,271 naissances
Michèle,269 naissances
Odile,269 naissances
Jacky,264 naissances
Ghislain,262 naissances
Jean-Sébastien,261 naissances
Jean-Yves,256 naissances
Mustapha,256 naissances
François-Xavier,255 naissances
Astrid,254 naissances
Frederick,252 naissances
Adrien,251 naissances
Bérengère,251 naissances
Paulo,250 naissances
Edith,249 naissances
Farida,246 naissances
Yasmina,245 naissances
Geoffroy,244 naissances
Nabil,242 naissances
Bérangère,241 naissances
Ghislaine,240 naissances
Marie-Noëlle,239 naissances
Anna,239 naissances
Laura,239 naissances
Clarisse,238 naissances
Pierre-Yves,238 naissances
Guy,237 naissances
Rodrigue,236 naissances
Lise,233 naissances
Rudy,232 naissances
Tania,230 naissances
Diane,230 naissances
Gildas,229 naissances
Axelle,229 naissances
Hubert,225 naissances
Eve,225 naissances
Anne-Claire,224 naissances
Clotilde,224 naissances
Pierrick,218 naissances
Aïcha,218 naissances
Jean-Noël,218 naissances
Sandy,217 naissances
Noël,217 naissances
Robert,217 naissances
Hakim,215 naissances
Lynda,214 naissances
Rachida,214 naissances
Henri,213 naissances
Salima,211 naissances
Annick,211 naissances
Viviane,211 naissances
Baptiste,210 naissances
Nolwenn,210 naissances
Karl,209 naissances
Thibault,209 naissances
Sandie,209 naissances
Roland,208 naissances
Morgan,207 naissances
Gwladys,205 naissances
Angelina,205 naissances
Anne-Cécile,204 naissances
Yohan,202 naissances
Nancy,201 naissances
Christina,201 naissances
Luis,200 naissances
Corine,200 naissances
Maryse,200 naissances
Mélinda,198 naissances
Lilian,198 naissances
Violaine,194 naissances
Chloé,193 naissances
Julia,190 naissances
Nicole,187 naissances
Claudia,186 naissances
Tiphaine,185 naissances
Esther,183 naissances
Marie-Ange,183 naissances
Djamel,183 naissances
Anne-Lise,182 naissances
Kathy,182 naissances
Ariane,182 naissances
Agathe,180 naissances
Vanina,179 naissances
Tristan,179 naissances
Jeanne,178 naissances
Jacqueline,178 naissances
Carla,178 naissances
Stella,177 naissances
Brahim,177 naissances
Marie-France,176 naissances
Martin,176 naissances
Axel,176 naissances
Youssef,174 naissances
Sylviane,174 naissances
Filipe,174 naissances
Fernando,173 naissances
Rebecca,171 naissances
Yamina,168 naissances
Jean-Jacques,168 naissances
Alan,167 naissances
Gwénola,167 naissances
Reynald,166 naissances
Tanguy,165 naissances
Laïla,165 naissances
Monique,165 naissances
Rozenn,164 naissances
Cristina,164 naissances
Isabel,162 naissances
Jocelyne,162 naissances
Roxane,161 naissances
Geneviève,160 naissances
Fouad,160 naissances
Raphaëlle,160 naissances
Samantha,159 naissances
Candice,158 naissances
Jorge,157 naissances
Wilfrid,156 naissances
Sara,156 naissances
James,156 naissances
Ana,155 naissances
Graziella,155 naissances
Marie-Anne,154 naissances
Emeline,154 naissances
Régine,153 naissances
Bastien,153 naissances
Bernadette,152 naissances
Chrystel,152 naissances
Joâo,151 naissances
Roseline,151 naissances
Solange,150 naissances
Malik,150 naissances
Sylvaine,149 naissances
René,148 naissances
Matthias,148 naissances
Lucile,148 naissances
Noëlle,148 naissances
Marilyn,147 naissances
Leslie,147 naissances
Mario,147 naissances
Katell,147 naissances
Suzanne,146 naissances
Emeric,145 naissances
Valéry,145 naissances
Dolorès,145 naissances
Anne-Gaëlle,145 naissances
Djamila,145 naissances
Solène,145 naissances
Gabrielle,145 naissances
Francisco,144 naissances
Erwann,144 naissances
Soraya,143 naissances
Paula,143 naissances
Hicham,143 naissances
Roger,142 naissances
Jocelyn,142 naissances
Maïté,141 naissances
Chrystèle,141 naissances
Cédrick,141 naissances
France,141 naissances
