prenom,nbdenaissances
Christophe,21 156 naissances
Stéphane,20 984 naissances
Sandrine,19 886 naissances
David,19 694 naissances
Nathalie,19 200 naissances
Isabelle,16 500 naissances
Laurent,16 048 naissances
Olivier,15 121 naissances
Valérie,14 566 naissances
Frédéric,13 918 naissances
Sébastien,13 745 naissances
Christelle,13 131 naissances
Karine,11 671 naissances
Eric,11 650 naissances
Philippe,10 682 naissances
Stéphanie,10 494 naissances
Sophie,10 380 naissances
Franck,9 625 naissances
Sylvie,9 490 naissances
Jérôme,8 800 naissances
Thierry,8 651 naissances
Séverine,8 379 naissances
Céline,8 279 naissances
Nicolas,7 985 naissances
Fabrice,7 934 naissances
Véronique,7 388 naissances
Laurence,7 353 naissances
Pascal,7 116 naissances
Catherine,6 695 naissances
Sandra,6 473 naissances
Florence,6 357 naissances
Emmanuel,6 324 naissances
Vincent,6 171 naissances
Corinne,5 864 naissances
Christine,5 808 naissances
Anne,5 712 naissances
Bruno,5 694 naissances
Delphine,5 652 naissances
Arnaud,5 307 naissances
Virginie,5 292 naissances
Carole,5 227 naissances
Marie,5 099 naissances
Cécile,4 880 naissances
Hervé,4 709 naissances
Patricia,4 500 naissances
Jean,4 427 naissances
Michaël,4 351 naissances
Sylvain,4 299 naissances
Patrick,4 294 naissances
Cyril,4 255 naissances
Xavier,4 060 naissances
Béatrice,3 893 naissances
Didier,3 854 naissances
Caroline,3 842 naissances
Magali,3 798 naissances
Patrice,3 716 naissances
François,3 701 naissances
Lionel,3 684 naissances
Fabienne,3 675 naissances
Yannick,3 598 naissances
Gilles,3 474 naissances
Cédric,3 455 naissances
Carine,3 323 naissances
Alain,3 323 naissances
Yann,3 304 naissances
Michel,3 302 naissances
Ludovic,3 301 naissances
Pierre,3 255 naissances
Sabine,3 220 naissances
Jean-François,3 211 naissances
Marc,3 173 naissances
Alexandra,3 168 naissances
Dominique,3 125 naissances
Alexandre,3 085 naissances
Fabien,3 051 naissances
Emmanuelle,3 015 naissances
Hélène,2 945 naissances
Benoit,2 879 naissances
Myriam,2 757 naissances
Muriel,2 756 naissances
Guillaume,2 730 naissances
Denis,2 708 naissances
Christian,2 677 naissances
Laëtitia,2 610 naissances
Grégory,2 559 naissances
Sonia,2 533 naissances
Elisabeth,2 528 naissances
Cyrille,2 491 naissances
Nadia,2 455 naissances
Agnès,2 429 naissances
Maria,2 330 naissances
Géraldine,2 285 naissances
Richard,2 250 naissances
