prenom,nbdenaissances
Nicolas,20 824 naissances
Julien,15 057 naissances
Sébastien,14 657 naissances
Céline,12 505 naissances
Aurélie,12 366 naissances
Emilie,11 113 naissances
David,9 777 naissances
Cédric,9 278 naissances
Virginie,8 894 naissances
Guillaume,8 838 naissances
Laëtitia,8 719 naissances
Stéphanie,8 526 naissances
Christophe,8 097 naissances
Jérôme,8 015 naissances
Marie,7 417 naissances
Sabrina,7 354 naissances
Audrey,7 281 naissances
Frédéric,7 187 naissances
Vincent,7 124 naissances
Elodie,7 117 naissances
Alexandre,7 025 naissances
Olivier,6 617 naissances
Sophie,6 397 naissances
Julie,6 149 naissances
Mickael,5 791 naissances
Delphine,5 700 naissances
Mathieu,5 666 naissances
Stéphane,5 658 naissances
Ludovic,5 655 naissances
Thomas,5 647 naissances
Sandrine,5 644 naissances
Caroline,5 542 naissances
Vanessa,5 303 naissances
Laurent,5 137 naissances
Mélanie,5 041 naissances
Angélique,5 021 naissances
Arnaud,4 871 naissances
Grégory,4 793 naissances
Romain,4 596 naissances
Sylvain,4 470 naissances
Anthony,4 412 naissances
Nathalie,4 404 naissances
Benoit,4 297 naissances
Christelle,4 250 naissances
Fabien,4 175 naissances
Cécile,4 146 naissances
Damien,4 143 naissances
Pierre,3 964 naissances
Séverine,3 950 naissances
Sandra,3 916 naissances
Hélène,3 901 naissances
Michaël,3 878 naissances
Benjamin,3 804 naissances
Isabelle,3 755 naissances
Alexandra,3 751 naissances
Anne,3 638 naissances
Claire,3 590 naissances
Cyril,3 580 naissances
François,3 503 naissances
Emmanuel,3 420 naissances
Jonathan,3 390 naissances
Jérémy,3 364 naissances
Jean,3 285 naissances
Aurélien,3 272 naissances
Magali,3 256 naissances
Cindy,3 113 naissances
Emmanuelle,3 012 naissances
Gaëlle,3 000 naissances
Aurore,2 944 naissances
Karine,2 936 naissances
Matthieu,2 923 naissances
Florian,2 886 naissances
Franck,2 880 naissances
Xavier,2 838 naissances
Amélie,2 792 naissances
Fabrice,2 720 naissances
Sonia,2 715 naissances
Eric,2 671 naissances
Philippe,2 663 naissances
Jessica,2 652 naissances
Yannick,2 641 naissances
Antoine,2 514 naissances
Yann,2 465 naissances
Adeline,2 410 naissances
Jennifer,2 369 naissances
Valérie,2 341 naissances
Loïc,2 328 naissances
Florence,2 304 naissances
Laure,2 270 naissances
Florent,2 218 naissances
Amandine,2 208 naissances
Marion,2 199 naissances
Samuel,2 176 naissances
Maxime,2 112 naissances
Carole,2 108 naissances
Fanny,2 030 naissances
Lionel,2 019 naissances
Nadège,2 019 naissances
Nadia,1 984 naissances
Marc,1 955 naissances
Carine,1 913 naissances
Aline,1 876 naissances
Estelle,1 813 naissances
Bruno,1 803 naissances
Sylvie,1 796 naissances
Adrien,1 705 naissances
Pascal,1 633 naissances
Lucie,1 607 naissances
Magalie,1 606 naissances
Myriam,1 601 naissances
Véronique,1 574 naissances
Thierry,1 570 naissances
Géraldine,1 568 naissances
Mohamed,1 566 naissances
Raphaël,1 560 naissances
Kevin,1 547 naissances
Catherine,1 531 naissances
Ludivine,1 519 naissances
Karim,1 513 naissances
Laurence,1 506 naissances
Maud,1 471 naissances
Charlotte,1 431 naissances
Sarah,1 421 naissances
Elise,1 378 naissances
Tony,1 366 naissances
Hervé,1 348 naissances
Marjorie,1 341 naissances
Clément,1 335 naissances
Dorothée,1 328 naissances
Anne-Sophie,1 309 naissances
Yoann,1 299 naissances
Linda,1 295 naissances
Aude,1 290 naissances
Jean-François,1 269 naissances
Jean-Baptiste,1 268 naissances
Pamela,1 260 naissances
Alexis,1 235 naissances
Coralie,1 225 naissances
Bertrand,1 223 naissances
Jérémie,1 222 naissances
Gilles,1 217 naissances
Brice,1 211 naissances
Johan,1 195 naissances
Camille,1 180 naissances
Mathilde,1 164 naissances
Marina,1 142 naissances
Patrick,1 136 naissances
Michel,1 134 naissances
Steve,1 115 naissances
Ingrid,1 112 naissances
Christine,1 106 naissances
Gaël,1 105 naissances
Nelly,1 096 naissances
Rémi,1 082 naissances
Charles,1 065 naissances
Gaétan,1 059 naissances
Mikaël,1 056 naissances
Natacha,1 050 naissances
Anne-Laure,1 048 naissances
Cyrille,1 041 naissances
Jean-Philippe,1 041 naissances
Daniel,1 038 naissances
Geoffrey,1 037 naissances
Patrice,1 021 naissances
Lydie,1 007 naissances
Jimmy,987 naissances
Mehdi,985 naissances
Yohann,979 naissances
Patricia,978 naissances
Marlène,956 naissances
Marie-Laure,949 naissances
Pauline,939 naissances
Olivia,936 naissances
Bénédicte,927 naissances
Johanna,921 naissances
Sabine,918 naissances
Elisabeth,912 naissances
Johann,912 naissances
Béatrice,911 naissances
Baptiste,889 naissances
Maryline,886 naissances
Dimitri,883 naissances
Denis,879 naissances
Simon,878 naissances
Rudy,878 naissances
Eddy,873 naissances
Richard,873 naissances
Alice,857 naissances
William,854 naissances
Rémy,854 naissances
Agnès,842 naissances
Alain,836 naissances
Aurélia,818 naissances
Déborah,810 naissances
Corinne,805 naissances
Didier,802 naissances
Perrine,799 naissances
Gwenaëlle,798 naissances
Noémie,798 naissances
Fabienne,778 naissances
Régis,778 naissances
Manuel,774 naissances
Katia,742 naissances
Romuald,740 naissances
Paul,737 naissances
Yohan,734 naissances
Jean-Christophe,734 naissances
Gérald,732 naissances
Christian,729 naissances
Renaud,726 naissances
Muriel,714 naissances
Samir,701 naissances
Frédérique,700 naissances
Etienne,690 naissances
Cathy,687 naissances
Cynthia,686 naissances
Dominique,674 naissances
Gabriel,669 naissances
Joël,664 naissances
Rachel,651 naissances
Samira,642 naissances
Barbara,639 naissances
Karen,639 naissances
Marine,628 naissances
Leïla,626 naissances
Rachid,616 naissances
Teddy,612 naissances
Thibaut,604 naissances
Farid,600 naissances
Thibault,595 naissances
Johnny,595 naissances
Fatima,595 naissances
Anaïs,593 naissances
Morgane,590 naissances
Marianne,588 naissances
Clémence,579 naissances
Rodolphe,575 naissances
Chloé,574 naissances
Juliette,572 naissances
Malika,572 naissances
Jean-Michel,569 naissances
Steeve,569 naissances
Emeline,562 naissances
Annabelle,559 naissances
Julia,555 naissances
Mylène,553 naissances
Sylvia,551 naissances
Solène,545 naissances
Laura,545 naissances
Willy,543 naissances
Blandine,542 naissances
Erwan,540 naissances
Ophélie,539 naissances
Sandy,528 naissances
Wilfried,524 naissances
Freddy,519 naissances
Karima,499 naissances
Jean-Charles,497 naissances
Kamel,493 naissances
Edouard,485 naissances
Luc,475 naissances
Boris,468 naissances
Antony,464 naissances
Leslie,464 naissances
Priscilla,460 naissances
Samia,453 naissances
Bastien,450 naissances
Yves,442 naissances
Claude,438 naissances
Jean-Marie,436 naissances
Morgan,434 naissances
Jean-Marc,434 naissances
Charlène,434 naissances
Peggy,434 naissances
José,431 naissances
Quentin,426 naissances
Erika,426 naissances
Kelly,424 naissances
Célia,418 naissances
Ali,416 naissances
Grégoire,412 naissances
Cécilia,411 naissances
Geoffroy,411 naissances
Lydia,404 naissances
Eva,403 naissances
Alban,403 naissances
Laurie,399 naissances
Pierrick,399 naissances
Tatiana,395 naissances
Gaylord,385 naissances
Alexia,383 naissances
Joseph,382 naissances
Louis,380 naissances
Justine,379 naissances
