prenom,nbdenaissances
Nathalie,26 217 naissances
Christophe,21 850 naissances
Stéphane,21 797 naissances
Laurent,19 958 naissances
Valérie,19 388 naissances
David,18 457 naissances
Sandrine,18 037 naissances
Isabelle,16 543 naissances
Olivier,14 459 naissances
Frédéric,14 202 naissances
Philippe,14 145 naissances
Eric,12 591 naissances
Sylvie,12 388 naissances
Sophie,11 109 naissances
Laurence,10 564 naissances
Franck,10 288 naissances
Thierry,10 180 naissances
Christelle,10 060 naissances
Catherine,9 990 naissances
Véronique,9 744 naissances
Pascal,9 083 naissances
Christine,8 549 naissances
Karine,8 248 naissances
Corinne,8 021 naissances
Fabrice,7 453 naissances
Florence,7 376 naissances
Bruno,7 359 naissances
Emmanuel,7 246 naissances
Patrick,6 677 naissances
Carole,6 220 naissances
Sébastien,5 865 naissances
Didier,5 853 naissances
Anne,5 639 naissances
Marie,5 607 naissances
Patricia,5 592 naissances
Jean,5 550 naissances
Stéphanie,5 177 naissances
Jérôme,5 168 naissances
Alain,5 122 naissances
Delphine,5 099 naissances
Nicolas,5 079 naissances
Céline,5 003 naissances
Hervé,4 979 naissances
Vincent,4 923 naissances
Fabienne,4 782 naissances
Patrice,4 624 naissances
Virginie,4 501 naissances
Michel,4 428 naissances
Cécile,4 398 naissances
Dominique,4 119 naissances
Béatrice,4 083 naissances
Gilles,3 944 naissances
Marc,3 881 naissances
Christian,3 831 naissances
François,3 825 naissances
Sylvain,3 777 naissances
Pierre,3 748 naissances
Lionel,3 643 naissances
Emmanuelle,3 631 naissances
Sabine,3 606 naissances
Xavier,3 536 naissances
Ludovic,3 458 naissances
Denis,3 277 naissances
Caroline,3 203 naissances
Arnaud,3 030 naissances
Daniel,2 954 naissances
Muriel,2 944 naissances
Myriam,2 919 naissances
Agnès,2 888 naissances
Jean-Marc,2 871 naissances
Hélène,2 770 naissances
Jean-François,2 770 naissances
Magali,2 737 naissances
Elisabeth,2 719 naissances
Françoise,2 615 naissances
Yannick,2 521 naissances
Pascale,2 513 naissances
Maria,2 463 naissances
Benoit,2 459 naissances
Jean-Luc,2 445 naissances
Jean-Michel,2 402 naissances
Nadia,2 391 naissances
Frédérique,2 371 naissances
Richard,2 274 naissances
Jean-Pierre,2 201 naissances
Martine,2 195 naissances
Nadine,2 193 naissances
Katia,2 170 naissances
Sonia,2 105 naissances
Bertrand,2 054 naissances
Sandra,2 047 naissances
José,2 044 naissances
Cyril,2 036 naissances
Guillaume,1 990 naissances
Fabien,1 933 naissances
Murielle,1 903 naissances
