prenom,nbdenaissances
Kevin,12 124 naissances
Thomas,9 816 naissances
Julien,9 417 naissances
Nicolas,9 151 naissances
Elodie,8 790 naissances
Alexandre,8 372 naissances
Jérémy,8 247 naissances
Anthony,8 092 naissances
Maxime,7 971 naissances
Laura,7 922 naissances
Romain,7 532 naissances
Julie,7 453 naissances
Guillaume,6 982 naissances
Marine,6 928 naissances
Marie,6 766 naissances
Florian,6 683 naissances
Marion,6 449 naissances
Benjamin,6 191 naissances
Pauline,6 068 naissances
Aurélie,5 956 naissances
Jonathan,5 866 naissances
Camille,5 502 naissances
Mélanie,5 487 naissances
Pierre,5 247 naissances
Vincent,5 231 naissances
Emilie,5 053 naissances
Mathieu,5 034 naissances
Audrey,5 021 naissances
Clément,4 901 naissances
Sarah,4 774 naissances
Anaïs,4 748 naissances
Mickael,4 691 naissances
David,4 652 naissances
Sébastien,4 546 naissances
Antoine,4 518 naissances
Quentin,4 435 naissances
Damien,4 355 naissances
Amandine,4 227 naissances
Adrien,4 221 naissances
Sophie,3 968 naissances
Céline,3 964 naissances
Charlotte,3 963 naissances
Alexis,3 746 naissances
Laëtitia,3 610 naissances
Mathilde,3 525 naissances
Jennifer,3 519 naissances
Jessica,3 446 naissances
Lucie,3 395 naissances
Cindy,3 301 naissances
Florent,3 276 naissances
Cédric,3 247 naissances
Mélissa,3 200 naissances
Loïc,3 191 naissances
Aurélien,3 152 naissances
Caroline,3 137 naissances
Claire,3 113 naissances
Stéphanie,3 074 naissances
Fanny,3 048 naissances
Morgane,3 021 naissances
Matthieu,3 003 naissances
Justine,2 971 naissances
Amélie,2 838 naissances
Manon,2 775 naissances
Coralie,2 761 naissances
Arnaud,2 750 naissances
Fabien,2 681 naissances
Benoit,2 624 naissances
Jérôme,2 589 naissances
Adeline,2 584 naissances
Alexandra,2 575 naissances
Angélique,2 550 naissances
Chloé,2 521 naissances
Rémi,2 483 naissances
Hélène,2 457 naissances
Aurore,2 418 naissances
Christopher,2 417 naissances
Simon,2 362 naissances
Valentin,2 323 naissances
Ludovic,2 311 naissances
François,2 292 naissances
Sabrina,2 286 naissances
Geoffrey,2 261 naissances
Clémence,2 223 naissances
Charlène,2 199 naissances
Léa,2 194 naissances
Sandra,2 167 naissances
Christophe,2 136 naissances
Sylvain,2 103 naissances
Virginie,2 087 naissances
Cyril,2 041 naissances
Baptiste,2 024 naissances
Cécile,2 003 naissances
Olivier,1 996 naissances
Bastien,1 918 naissances
Gaétan,1 917 naissances
Paul,1 896 naissances
Estelle,1 892 naissances
Jordan,1 889 naissances
Vanessa,1 871 naissances
Stéphane,1 796 naissances
Marina,1 787 naissances
Margaux,1 776 naissances
Yoann,1 759 naissances
Frédéric,1 745 naissances
Thibault,1 739 naissances
Dimitri,1 724 naissances
Noémie,1 720 naissances
Michaël,1 718 naissances
Raphaël,1 717 naissances
Delphine,1 677 naissances
Jean,1 672 naissances
Alice,1 663 naissances
Elise,1 604 naissances
Steven,1 601 naissances
Laurie,1 597 naissances
Rémy,1 583 naissances
Hugo,1 575 naissances
Ludivine,1 569 naissances
Gwendoline,1 556 naissances
Gaëlle,1 514 naissances
Yann,1 510 naissances
Tony,1 508 naissances
Jimmy,1 475 naissances
Emeline,1 467 naissances
Laure,1 456 naissances
Emmanuelle,1 451 naissances
Sonia,1 450 naissances
Xavier,1 437 naissances
Laurent,1 428 naissances
Mohamed,1 420 naissances
Déborah,1 418 naissances
Samuel,1 415 naissances
Charles,1 415 naissances
Grégory,1 410 naissances
Arthur,1 396 naissances
Jean-Baptiste,1 390 naissances
Anne,1 366 naissances
Mehdi,1 355 naissances
Marc,1 353 naissances
Lucas,1 331 naissances
Maeva,1 318 naissances
Morgan,1 266 naissances
Alexia,1 257 naissances
Thibaut,1 247 naissances
Emmanuel,1 245 naissances
Johanna,1 233 naissances
Lucile,1 223 naissances
Juliette,1 219 naissances
Tristan,1 213 naissances
William,1 196 naissances
Anne-Sophie,1 182 naissances
Cynthia,1 179 naissances
Ophélie,1 172 naissances
Victor,1 164 naissances
Jérémie,1 162 naissances
Christelle,1 158 naissances
Myriam,1 146 naissances
Mélodie,1 118 naissances
Franck,1 106 naissances
Axel,1 092 naissances
Célia,1 088 naissances
Kelly,1 075 naissances
Johan,1 060 naissances
Louis,1 059 naissances
Marjorie,1 054 naissances
Charline,1 042 naissances
Samantha,1 015 naissances
Maud,1 013 naissances
Floriane,1 009 naissances
Etienne,1 007 naissances
Elsa,1 000 naissances
