prenom,nbdenaissances
Julien,16 332 naissances
Nicolas,14 540 naissances
Aurélie,13 934 naissances
Sébastien,11 551 naissances
Emilie,10 692 naissances
Guillaume,9 248 naissances
Céline,9 222 naissances
Elodie,8 358 naissances
Julie,8 317 naissances
Stéphanie,8 001 naissances
David,7 593 naissances
Laëtitia,7 537 naissances
Audrey,7 393 naissances
Marie,7 221 naissances
Cédric,7 018 naissances
Virginie,6 587 naissances
Vincent,6 414 naissances
Alexandre,6 322 naissances
Romain,6 274 naissances
Christophe,6 183 naissances
Jérôme,6 093 naissances
Thomas,5 935 naissances
Damien,5 789 naissances
Grégory,5 712 naissances
Sophie,5 710 naissances
Jérémy,5 549 naissances
Anthony,5 501 naissances
Mathieu,5 439 naissances
Jonathan,5 389 naissances
Mickael,5 357 naissances
Caroline,5 275 naissances
Frédéric,5 187 naissances
Sabrina,5 114 naissances
Jessica,4 884 naissances
Ludovic,4 857 naissances
Vanessa,4 848 naissances
Olivier,4 445 naissances
Mélanie,4 419 naissances
Sylvain,4 401 naissances
Stéphane,4 352 naissances
Delphine,4 345 naissances
Benjamin,4 272 naissances
Pierre,4 256 naissances
Amandine,4 047 naissances
Angélique,4 003 naissances
Laurent,3 860 naissances
Claire,3 841 naissances
Arnaud,3 761 naissances
Sandrine,3 758 naissances
Nathalie,3 703 naissances
Benoit,3 683 naissances
Fabien,3 678 naissances
Cécile,3 674 naissances
Aurélien,3 441 naissances
Michaël,3 315 naissances
Amélie,3 253 naissances
Christelle,3 209 naissances
Jean,3 162 naissances
Hélène,3 097 naissances
Loïc,3 094 naissances
François,3 084 naissances
Cindy,3 052 naissances
Cyril,3 047 naissances
Lucie,2 903 naissances
Marion,2 897 naissances
Anne,2 856 naissances
Maxime,2 848 naissances
Alexandra,2 793 naissances
Sandra,2 775 naissances
Gaëlle,2 694 naissances
Matthieu,2 685 naissances
Antoine,2 682 naissances
Jennifer,2 675 naissances
Yannick,2 590 naissances
Fanny,2 562 naissances
Aurore,2 514 naissances
Sarah,2 461 naissances
Isabelle,2 459 naissances
Florian,2 420 naissances
Pauline,2 301 naissances
Séverine,2 300 naissances
Emmanuel,2 283 naissances
Kevin,2 280 naissances
Rémi,2 239 naissances
Florent,2 229 naissances
Magali,2 202 naissances
Sonia,2 190 naissances
Laure,2 161 naissances
Xavier,2 156 naissances
Franck,2 094 naissances
Emmanuelle,2 027 naissances
Yoann,1 988 naissances
Philippe,1 984 naissances
Adeline,1 957 naissances
Yann,1 929 naissances
Eric,1 909 naissances
Ludivine,1 898 naissances
Marc,1 888 naissances
Clément,1 848 naissances
Karine,1 842 naissances
Florence,1 798 naissances
Adrien,1 773 naissances
Elise,1 732 naissances
Fabrice,1 732 naissances
Aline,1 719 naissances
Mohamed,1 686 naissances
Valérie,1 656 naissances
Carole,1 643 naissances
Charlotte,1 597 naissances
Bruno,1 595 naissances
Samuel,1 564 naissances
Lionel,1 522 naissances
Alexis,1 479 naissances
Estelle,1 458 naissances
Jérémie,1 457 naissances
Coralie,1 448 naissances
Nadia,1 441 naissances
Nadège,1 422 naissances
Tony,1 390 naissances
Camille,1 386 naissances
Mathilde,1 357 naissances
Raphaël,1 344 naissances
Karim,1 299 naissances
Carine,1 295 naissances
Marjorie,1 284 naissances
Rémy,1 261 naissances
Linda,1 258 naissances
Myriam,1 249 naissances
Jean-Baptiste,1 189 naissances
Géraldine,1 183 naissances
Aude,1 166 naissances
Sylvie,1 149 naissances
Thierry,1 135 naissances
Maud,1 134 naissances
Anne-Sophie,1 130 naissances
Magalie,1 126 naissances
Pascal,1 121 naissances
Simon,1 106 naissances
Catherine,1 094 naissances
Johan,1 092 naissances
Mehdi,1 050 naissances
Gaétan,1 040 naissances
Anaïs,1 038 naissances
Alice,1 035 naissances
William,1 029 naissances
Véronique,1 005 naissances
Dorothée,1 005 naissances
Marina,992 naissances
Baptiste,991 naissances
Yohann,986 naissances
Jimmy,980 naissances
Gaël,973 naissances
Patrick,969 naissances
Dimitri,968 naissances
Ophélie,968 naissances
Anne-Laure,965 naissances
Laurence,965 naissances
Charles,960 naissances
Bertrand,957 naissances
Steve,955 naissances
Brice,950 naissances
Michel,937 naissances
Aurélia,923 naissances
Lydie,904 naissances
Gilles,903 naissances
Jean-Philippe,896 naissances
Christine,895 naissances
Thibault,883 naissances
Hervé,880 naissances
Daniel,878 naissances
Nelly,868 naissances
Noémie,867 naissances
Ingrid,863 naissances
Paul,861 naissances
Marine,857 naissances
Natacha,855 naissances
Emeline,855 naissances
Laura,845 naissances
Johanna,841 naissances
Pamela,837 naissances
Chloé,831 naissances
Mikaël,823 naissances
Jean-François,814 naissances
Charlène,809 naissances
Marlène,803 naissances
Yohan,785 naissances
Bénédicte,782 naissances
Cyrille,774 naissances
Thibaut,770 naissances
Marie-Laure,756 naissances
Teddy,750 naissances
Déborah,747 naissances
Morgane,732 naissances
Denis,725 naissances
Rudy,718 naissances
Clémence,713 naissances
Eddy,706 naissances
Patrice,702 naissances
Alain,687 naissances
Priscilla,686 naissances
Etienne,683 naissances
Olivia,682 naissances
Fatima,675 naissances
Bastien,675 naissances
Elsa,672 naissances
Manuel,669 naissances
Morgan,667 naissances
Elisabeth,666 naissances
Johann,659 naissances
Sabine,657 naissances
Leslie,655 naissances
Didier,637 naissances
Renaud,636 naissances
Rachid,635 naissances
Richard,628 naissances
Samir,624 naissances
Patricia,622 naissances
Perrine,616 naissances
Leïla,613 naissances
Geoffrey,606 naissances
Samira,604 naissances
Agnès,602 naissances
Gwenaëlle,598 naissances
Laurie,585 naissances
Christian,584 naissances
Juliette,580 naissances
Gabriel,578 naissances
Régis,576 naissances
Lise,570 naissances
Lucile,567 naissances
Christopher,566 naissances
Solène,564 naissances
Cynthia,561 naissances
Johnny,556 naissances
Edouard,553 naissances
Rachel,550 naissances
Corinne,549 naissances
Blandine,548 naissances
Jean-Christophe,542 naissances
Barbara,531 naissances
Farid,528 naissances
Maryline,527 naissances
Katia,526 naissances
Célia,526 naissances
Marianne,526 naissances
Erwan,525 naissances
Romuald,524 naissances
Karima,522 naissances
Quentin,521 naissances
Mylène,519 naissances
Béatrice,514 naissances
Malika,510 naissances
Alexia,510 naissances
Annabelle,506 naissances
Julia,503 naissances
Antony,495 naissances
Joël,489 naissances
Muriel,488 naissances
Frédérique,487 naissances
Cathy,482 naissances
Steeve,472 naissances
Freddy,464 naissances
Dominique,461 naissances
Fabienne,459 naissances
Gérald,458 naissances
Louis,457 naissances
Yoan,450 naissances
Sandy,446 naissances
Kamel,444 naissances
Karen,442 naissances
Wilfried,435 naissances
Tiphaine,432 naissances
Erika,431 naissances
Luc,431 naissances
Samia,425 naissances
Grégoire,424 naissances
Willy,420 naissances
Nabil,419 naissances
Jean-Charles,419 naissances
Ali,412 naissances
Tatiana,409 naissances
Pierrick,406 naissances
Alban,406 naissances
Jean-Michel,405 naissances
John,395 naissances
Kelly,395 naissances
Boris,395 naissances
Justine,391 naissances
Diane,390 naissances
Joseph,390 naissances
Sylvia,383 naissances
Camille,383 naissances
Rebecca,372 naissances
Floriane,370 naissances
Mathias,370 naissances
Rodolphe,368 naissances
Yves,366 naissances
Charline,362 naissances
Cécilia,359 naissances
Lydia,355 naissances
Agathe,348 naissances
Naïma,348 naissances
Jean-Marie,343 naissances
Aymeric,340 naissances
Mélissa,339 naissances
Mourad,338 naissances
Ahmed,334 naissances
Anne-Lise,330 naissances
Martin,329 naissances
Saïd,328 naissances
Eva,327 naissances
Cyrielle,323 naissances
Edwige,323 naissances
Victor,320 naissances
Betty,320 naissances
Jean-Marc,319 naissances
Jacques,317 naissances
Claude,315 naissances
José,315 naissances
Clarisse,315 naissances
Ronan,314 naissances
Geoffroy,312 naissances
Anissa,307 naissances
Davy,306 naissances
Laurène,305 naissances
Gary,305 naissances
Bérengère,305 naissances
Hakim,303 naissances
Violaine,303 naissances
Eloïse,302 naissances
Clémentine,295 naissances
Marilyne,293 naissances
Anna,291 naissances
Roxane,287 naissances
Murielle,285 naissances
Emilien,284 naissances
Nora,283 naissances
Pierre-Yves,282 naissances
Martial,280 naissances
Yasmina,279 naissances
Jeanne,277 naissances
Brahim,274 naissances
Gwenaël,274 naissances
Léa,270 naissances
Mustapha,270 naissances
Fatiha,269 naissances
Sophia,269 naissances
Davina,269 naissances
Thibaud,266 naissances
Anne-Claire,264 naissances
Abdelkader,262 naissances
Tiffany,261 naissances
Henri,261 naissances
Maïté,257 naissances
Aïcha,257 naissances
Valentin,257 naissances
Pascaline,256 naissances
Ghislain,256 naissances
Nolwenn,255 naissances
Eugénie,254 naissances
Angéline,254 naissances
Lisa,251 naissances
Samantha,250 naissances
Jean-Pierre,250 naissances
Pascale,250 naissances
Louise,250 naissances
Youssef,248 naissances
Flavie,248 naissances
André,246 naissances
Lauriane,246 naissances
Amel,245 naissances
Joëlle,243 naissances
Tristan,243 naissances
Astrid,243 naissances
Hanane,242 naissances
Miguel,242 naissances
Flavien,241 naissances
Hugo,241 naissances
Marielle,241 naissances
Steven,240 naissances
Nordine,239 naissances
Vivien,239 naissances
Francis,238 naissances
Jordan,237 naissances
Serge,235 naissances
Alan,232 naissances
Elisa,232 naissances
Sofiane,231 naissances
Georges,230 naissances
Christel,229 naissances
Gwladys,229 naissances
Amaury,228 naissances
Fouad,228 naissances
Eléonore,227 naissances
Alicia,227 naissances
Maeva,226 naissances
Rachida,226 naissances
Bérangère,223 naissances
Maxence,223 naissances
Yvan,223 naissances
Héloïse,222 naissances
Omar,221 naissances
Matthias,218 naissances
Nadine,218 naissances
Gwendoline,218 naissances
Eve,217 naissances
Clara,215 naissances
Rodrigue,214 naissances
Priscillia,214 naissances
Françoise,213 naissances
Hugues,213 naissances
Clotilde,212 naissances
Yassine,212 naissances
Flora,212 naissances
Gladys,211 naissances
François-Xavier,210 naissances
Edith,210 naissances
Sara,208 naissances
Maria,208 naissances
Sofia,207 naissances
Dorian,207 naissances
Axelle,206 naissances
Gabrielle,206 naissances
Evelyne,206 naissances
Salim,205 naissances
Soraya,204 naissances
Mounir,204 naissances
Angelina,203 naissances
Jean-Luc,202 naissances
Claudia,200 naissances
Marjolaine,200 naissances
Armelle,199 naissances
Solenne,199 naissances
Yacine,199 naissances
Djamel,199 naissances
Timothée,198 naissances
Giovanni,198 naissances
Nancy,198 naissances
Tanguy,196 naissances
Germain,196 naissances
Manon,193 naissances
Dalila,193 naissances
