prenom,nbdenaissances
Gabriel,5 882 naissances
Raphaël,5 102 naissances
Jules,5 034 naissances
Emma,4 738 naissances
Adam,4 662 naissances
Léo,4 642 naissances
Lucas,4 594 naissances
Louis,4 582 naissances
Louise,4 179 naissances
Ethan,4 158 naissances
Jade,4 147 naissances
Hugo,4 062 naissances
Chloé,3 750 naissances
Liam,3 705 naissances
Maël,3 615 naissances
Nathan,3 615 naissances
Arthur,3 558 naissances
Inès,3 520 naissances
Léa,3 499 naissances
Alice,3 490 naissances
Paul,3 365 naissances
Mila,3 262 naissances
Léna,3 240 naissances
Nolan,3 157 naissances
Lina,3 126 naissances
Manon,3 033 naissances
Sacha,3 013 naissances
Tom,2 871 naissances
Noah,2 865 naissances
Timéo,2 853 naissances
Enzo,2 769 naissances
Lola,2 745 naissances
Théo,2 735 naissances
Gabin,2 683 naissances
Zoé,2 611 naissances
Rose,2 448 naissances
Anna,2 428 naissances
Mohamed,2 388 naissances
Mathis,2 377 naissances
Aaron,2 372 naissances
Sarah,2 371 naissances
Juliette,2 298 naissances
Ambre,2 255 naissances
Lucie,2 241 naissances
Julia,2 239 naissances
Clément,2 172 naissances
Axel,2 165 naissances
Eva,2 107 naissances
Noé,2 100 naissances
Antoine,2 090 naissances
Elena,2 078 naissances
Victor,2 060 naissances
Romane,2 017 naissances
Maxime,2 007 naissances
Baptiste,1 962 naissances
Eden,1 959 naissances
Martin,1 956 naissances
Jeanne,1 951 naissances
Yanis,1 872 naissances
Naël,1 859 naissances
Mia,1 856 naissances
Rayan,1 845 naissances
Lou,1 831 naissances
Robin,1 804 naissances
Léonie,1 799 naissances
Valentin,1 788 naissances
Charlotte,1 765 naissances
Louna,1 756 naissances
Marius,1 710 naissances
Nina,1 703 naissances
Mathéo,1 702 naissances
Clara,1 701 naissances
Evan,1 687 naissances
Inaya,1 687 naissances
Lana,1 679 naissances
Maëlys,1 657 naissances
Maxence,1 648 naissances
Agathe,1 622 naissances
Margaux,1 595 naissances
Thomas,1 589 naissances
Sofia,1 573 naissances
Alexandre,1 572 naissances
Samuel,1 562 naissances
Clémence,1 548 naissances
Léon,1 546 naissances
Elise,1 526 naissances
Anaïs,1 496 naissances
Lilou,1 453 naissances
Simon,1 428 naissances
Lenny,1 412 naissances
Léana,1 400 naissances
Augustin,1 393 naissances
Rafaël,1 388 naissances
Théa,1 336 naissances
Eliott,1 329 naissances
Olivia,1 311 naissances
Tiago,1 298 naissances
Adèle,1 294 naissances
Lyam,1 288 naissances
Alexis,1 254 naissances
Mathilde,1 250 naissances
Gaspard,1 236 naissances
