prenom,nbdenaissances
Léa,9 652 naissances
Thomas,9 407 naissances
Lucas,8 040 naissances
Manon,7 476 naissances
Camille,7 192 naissances
Maxime,7 013 naissances
Hugo,6 999 naissances
Alexandre,6 951 naissances
Quentin,6 765 naissances
Nicolas,6 541 naissances
Marie,6 311 naissances
Chloé,6 137 naissances
Théo,6 073 naissances
Antoine,6 059 naissances
Océane,5 903 naissances
Valentin,5 601 naissances
Clément,5 589 naissances
Emma,5 556 naissances
Laura,5 382 naissances
Alexis,5 271 naissances
Sarah,5 240 naissances
Julien,5 150 naissances
Julie,4 988 naissances
Marine,4 761 naissances
Florian,4 752 naissances
Mathilde,4 680 naissances
Romain,4 594 naissances
Pauline,4 568 naissances
Dylan,4 386 naissances
Pierre,4 379 naissances
Kevin,4 291 naissances
Anaïs,4 274 naissances
Benjamin,4 097 naissances
Anthony,4 059 naissances
Lucie,3 955 naissances
Louis,3 875 naissances
Paul,3 869 naissances
Guillaume,3 725 naissances
Justine,3 674 naissances
Adrien,3 639 naissances
Baptiste,3 638 naissances
Corentin,3 485 naissances
Morgane,3 298 naissances
Clara,3 192 naissances
Arthur,3 177 naissances
Nathan,3 150 naissances
Inès,3 105 naissances
Marion,3 093 naissances
Mathieu,3 044 naissances
Vincent,3 040 naissances
Juliette,2 971 naissances
Charlotte,2 894 naissances
Léo,2 836 naissances
Margaux,2 827 naissances
Axel,2 817 naissances
Lisa,2 813 naissances
Enzo,2 791 naissances
Emilie,2 770 naissances
Jérémy,2 762 naissances
Maeva,2 744 naissances
Victor,2 652 naissances
Amélie,2 586 naissances
Tom,2 541 naissances
Mélissa,2 452 naissances
Amandine,2 417 naissances
Louise,2 397 naissances
Bastien,2 388 naissances
Mélanie,2 367 naissances
Eva,2 343 naissances
Noémie,2 274 naissances
Loïc,2 267 naissances
Elodie,2 136 naissances
Jordan,2 129 naissances
Simon,2 027 naissances
Clémence,2 018 naissances
Célia,2 018 naissances
Margot,1 999 naissances
Raphaël,1 987 naissances
Rémi,1 976 naissances
Alice,1 961 naissances
Claire,1 946 naissances
Aurélien,1 945 naissances
Elisa,1 880 naissances
Damien,1 878 naissances
Audrey,1 828 naissances
