prenom,nbdenaissances
Thomas,9 592 naissances
Alexandre,8 194 naissances
Nicolas,7 741 naissances
Léa,7 503 naissances
Maxime,7 502 naissances
Manon,7 384 naissances
Quentin,7 192 naissances
Camille,7 021 naissances
Marie,6 773 naissances
Chloé,6 515 naissances
Antoine,6 367 naissances
Dylan,6 218 naissances
Laura,5 913 naissances
Julien,5 872 naissances
Lucas,5 813 naissances
Alexis,5 663 naissances
Guillaume,5 640 naissances
Marine,5 597 naissances
Valentin,5 549 naissances
Kevin,5 497 naissances
Romain,5 474 naissances
Pauline,5 454 naissances
Clément,5 449 naissances
Florian,5 354 naissances
Sarah,5 236 naissances
Julie,5 018 naissances
Anthony,4 972 naissances
Océane,4 835 naissances
Mathilde,4 813 naissances
Anaïs,4 780 naissances
Pierre,4 662 naissances
Marion,4 296 naissances
Hugo,4 161 naissances
Benjamin,4 092 naissances
Théo,4 017 naissances
Adrien,3 909 naissances
Vincent,3 864 naissances
Corentin,3 662 naissances
Lucie,3 588 naissances
Mélanie,3 536 naissances
Morgane,3 486 naissances
Justine,3 460 naissances
Paul,3 354 naissances
Jérémy,3 316 naissances
Louis,3 267 naissances
Mathieu,3 220 naissances
Clara,3 122 naissances
Charlotte,3 096 naissances
Mélissa,3 034 naissances
Jordan,2 912 naissances
Baptiste,2 881 naissances
Emilie,2 823 naissances
Axel,2 776 naissances
Amandine,2 724 naissances
Elodie,2 648 naissances
Juliette,2 644 naissances
Arthur,2 639 naissances
Nathan,2 634 naissances
Margaux,2 584 naissances
Victor,2 525 naissances
Audrey,2 470 naissances
Loïc,2 403 naissances
Amélie,2 348 naissances
Maeva,2 335 naissances
Damien,2 323 naissances
Lisa,2 301 naissances
Emma,2 266 naissances
Léo,2 249 naissances
Claire,2 206 naissances
Clémence,2 201 naissances
Noémie,2 171 naissances
Inès,2 144 naissances
Rémi,2 135 naissances
Sébastien,2 086 naissances
Thibault,2 045 naissances
Aurélien,2 041 naissances
Raphaël,1 998 naissances
Simon,1 990 naissances
Bastien,1 975 naissances
Elisa,1 970 naissances
Alice,1 955 naissances
Matthieu,1 918 naissances
Ophélie,1 863 naissances
Jonathan,1 828 naissances
Eva,1 820 naissances
Céline,1 804 naissances
David,1 785 naissances
Louise,1 783 naissances
Célia,1 763 naissances
Alicia,1 757 naissances
Fanny,1 753 naissances
Valentine,1 751 naissances
Coralie,1 745 naissances
Romane,1 691 naissances
Caroline,1 683 naissances
Steven,1 660 naissances
Bryan,1 658 naissances
Aurélie,1 657 naissances
Dorian,1 625 naissances
Alexia,1 624 naissances
Mickael,1 607 naissances
Arnaud,1 606 naissances
Elise,1 601 naissances
Margot,1 592 naissances
Robin,1 562 naissances
Yann,1 536 naissances
Estelle,1 528 naissances
Martin,1 499 naissances
Maxence,1 497 naissances
Alexandra,1 485 naissances
Samuel,1 475 naissances
Sophie,1 474 naissances
Laurine,1 454 naissances
Tristan,1 437 naissances
Christopher,1 432 naissances
Tom,1 425 naissances
Benoit,1 400 naissances
Gaétan,1 399 naissances
Solène,1 348 naissances
Emeline,1 338 naissances
François,1 333 naissances
Thibaut,1 329 naissances
Laëtitia,1 323 naissances
Laurie,1 306 naissances
Enzo,1 286 naissances
Agathe,1 280 naissances
Fabien,1 260 naissances
Florent,1 225 naissances
William,1 221 naissances
Charles,1 220 naissances
Cédric,1 213 naissances
Rémy,1 202 naissances
Jean,1 187 naissances
Mehdi,1 185 naissances
Victoria,1 181 naissances
Jules,1 172 naissances
Ludovic,1 164 naissances
Charlène,1 157 naissances
Jessica,1 155 naissances
Marina,1 145 naissances
Jeanne,1 092 naissances
Gabriel,1 088 naissances
Jade,1 084 naissances
Erwan,1 071 naissances
Coline,1 071 naissances
Julia,1 067 naissances
Mohamed,1 066 naissances
Jason,1 060 naissances
Andréa,1 053 naissances
Cécile,1 052 naissances
Carla,1 051 naissances
Aurore,1 046 naissances
Alison,1 039 naissances
Cindy,1 035 naissances
Cassandra,1 026 naissances
Ludivine,1 014 naissances
Etienne,1 014 naissances
Salomé,1 013 naissances
Axelle,1 004 naissances
Eloïse,1 003 naissances
Myriam,985 naissances
Dimitri,984 naissances
Cyril,977 naissances
Brandon,973 naissances
Grégory,964 naissances
Laure,950 naissances
Yanis,942 naissances
Sylvain,924 naissances
Kelly,914 naissances
Tanguy,911 naissances
Alex,908 naissances
Angélique,896 naissances
Clémentine,889 naissances
Alan,888 naissances
Adeline,882 naissances
Lucile,866 naissances
Jean-Baptiste,861 naissances
Mathias,861 naissances
Yoann,859 naissances
Tiffany,856 naissances
Déborah,854 naissances
Sabrina,851 naissances
Gwendoline,846 naissances
Tony,842 naissances
Yohan,838 naissances
Léna,833 naissances
Olivier,820 naissances
Mathis,819 naissances
Killian,804 naissances
Elsa,802 naissances
Johanna,802 naissances
Morgan,798 naissances
Sandra,796 naissances
Jimmy,794 naissances
Marc,789 naissances
Sofiane,777 naissances
Grégoire,774 naissances
Xavier,770 naissances
Jérôme,766 naissances
Jennifer,757 naissances
Zoé,756 naissances
Allan,748 naissances
Floriane,747 naissances
Maëlle,746 naissances
Clarisse,742 naissances
Aymeric,739 naissances
Charline,735 naissances
Anna,731 naissances
Gaëlle,730 naissances
Lola,719 naissances
Cynthia,713 naissances
Olivia,712 naissances
Hélène,704 naissances
Stéphane,702 naissances
Ambre,702 naissances
Antonin,701 naissances
Fiona,698 naissances
Héloïse,693 naissances
Perrine,692 naissances
