prenom,nbdenaissances
Léa,10 652 naissances
Thomas,10 453 naissances
Lucas,8 301 naissances
Théo,7 968 naissances
Manon,7 852 naissances
Hugo,7 694 naissances
Chloé,7 183 naissances
Emma,6 846 naissances
Maxime,6 828 naissances
Nicolas,6 662 naissances
Quentin,6 499 naissances
Marie,6 394 naissances
Alexandre,6 368 naissances
Océane,6 266 naissances
Antoine,5 974 naissances
Clément,5 684 naissances
Alexis,5 579 naissances
Sarah,5 482 naissances
Laura,5 224 naissances
Valentin,5 100 naissances
Mathilde,5 022 naissances
Julien,4 916 naissances
Julie,4 811 naissances
Marine,4 580 naissances
Romain,4 562 naissances
Florian,4 374 naissances
Louis,4 351 naissances
Benjamin,4 239 naissances
Pauline,4 235 naissances
Paul,4 235 naissances
Pierre,4 158 naissances
Lucie,4 078 naissances
Anaïs,4 062 naissances
Baptiste,4 012 naissances
Enzo,3 950 naissances
Dylan,3 925 naissances
Kevin,3 918 naissances
Inès,3 867 naissances
Anthony,3 848 naissances
Clara,3 798 naissances
Adrien,3 634 naissances
Tom,3 632 naissances
Guillaume,3 570 naissances
Arthur,3 568 naissances
Corentin,3 555 naissances
Léo,3 547 naissances
Justine,3 488 naissances
Nathan,3 371 naissances
Lisa,3 158 naissances
Mathieu,3 158 naissances
Maeva,3 082 naissances
Juliette,3 018 naissances
Marion,2 981 naissances
Morgane,2 947 naissances
Axel,2 898 naissances
Charlotte,2 894 naissances
Emilie,2 806 naissances
Vincent,2 782 naissances
Eva,2 752 naissances
Victor,2 724 naissances
Louise,2 599 naissances
Margaux,2 553 naissances
Jérémy,2 547 naissances
Amandine,2 343 naissances
Noémie,2 341 naissances
Mathis,2 311 naissances
Clémence,2 292 naissances
Célia,2 279 naissances
Mélissa,2 275 naissances
Elisa,2 262 naissances
Amélie,2 198 naissances
Bastien,2 190 naissances
Mélanie,2 169 naissances
Loïc,2 168 naissances
Simon,2 118 naissances
Samuel,2 111 naissances
Jade,2 100 naissances
Damien,2 070 naissances
Raphaël,2 045 naissances
Jordan,2 042 naissances
Dorian,2 042 naissances
Jules,2 025 naissances
Romane,2 010 naissances
Elodie,1 960 naissances
Rémi,1 952 naissances
Alice,1 923 naissances
Maxence,1 917 naissances
Laurine,1 895 naissances
Thibault,1 865 naissances
Elise,1 853 naissances
Margot,1 843 naissances
Tristan,1 840 naissances
Matthieu,1 822 naissances
Yanis,1 798 naissances
Jeanne,1 777 naissances
Killian,1 720 naissances
Audrey,1 699 naissances
Aurélien,1 635 naissances
Claire,1 629 naissances
Bryan,1 625 naissances
Alicia,1 616 naissances
Martin,1 607 naissances
Fanny,1 562 naissances
Carla,1 561 naissances
David,1 560 naissances
Gabriel,1 552 naissances
William,1 534 naissances
Solène,1 529 naissances
Agathe,1 508 naissances
Valentine,1 497 naissances
Lola,1 463 naissances
Zoé,1 420 naissances
Coralie,1 381 naissances
Alexia,1 379 naissances
Yann,1 353 naissances
Estelle,1 335 naissances
Mohamed,1 325 naissances
Laurie,1 321 naissances
Cassandra,1 316 naissances
Sébastien,1 312 naissances
Léna,1 310 naissances
Jonathan,1 281 naissances
Steven,1 261 naissances
Arnaud,1 251 naissances
Robin,1 249 naissances
Kenza,1 241 naissances
Alexandra,1 235 naissances
Tanguy,1 224 naissances
Fabien,1 217 naissances
Mehdi,1 202 naissances
Maëlle,1 197 naissances
Andréa,1 191 naissances
Ambre,1 190 naissances
Caroline,1 190 naissances
Emeline,1 187 naissances
Charles,1 168 naissances
Axelle,1 167 naissances
Gaétan,1 164 naissances
Mattéo,1 162 naissances
Erwan,1 155 naissances
Aurélie,1 146 naissances
Sophie,1 118 naissances
Thibaut,1 117 naissances
Lilian,1 105 naissances
Salomé,1 104 naissances
Victoria,1 096 naissances
Céline,1 095 naissances
Mickael,1 095 naissances
Julia,1 093 naissances
Laure,1 066 naissances
Antonin,1 063 naissances
Maël,1 044 naissances
Mathias,1 040 naissances
Alex,1 034 naissances
Allan,1 033 naissances
Elsa,1 027 naissances
Ophélie,1 025 naissances
Christopher,1 022 naissances
Benoit,1 019 naissances
Ryan,1 009 naissances
Jean,1 005 naissances
Rémy,1 005 naissances
Laëtitia,1 002 naissances
Coline,1 000 naissances
Anna,991 naissances
Nina,982 naissances
Eloïse,973 naissances
Alan,969 naissances
Florent,957 naissances
Lou,954 naissances
Marina,935 naissances
François,921 naissances
Cloé,911 naissances
Tony,906 naissances
Myriam,897 naissances
Jason,896 naissances
Dimitri,888 naissances
Jessica,886 naissances
Etienne,874 naissances
Clarisse,873 naissances
Aurore,865 naissances
Cédric,852 naissances
Anaëlle,852 naissances
Ludovic,848 naissances
Grégory,842 naissances
Adam,835 naissances
Rayan,828 naissances
Ludivine,818 naissances
Brice,801 naissances
Clémentine,795 naissances
Sofiane,792 naissances
Yannis,789 naissances
Lucile,772 naissances
Sacha,770 naissances
Yasmine,758 naissances
Kelly,739 naissances
Esteban,738 naissances
Jimmy,734 naissances
Ilona,733 naissances
Cécile,732 naissances
Evan,729 naissances
Charline,722 naissances
Yohan,722 naissances
Grégoire,720 naissances
Sabrina,720 naissances
Maëlys,719 naissances
Yoann,716 naissances
Aymeric,716 naissances
Héloïse,712 naissances
Gaëlle,704 naissances
Cyril,698 naissances
Sylvain,687 naissances
Lise,667 naissances
Lina,656 naissances
Samantha,654 naissances
Nolwenn,651 naissances
Charlène,648 naissances
Johanna,641 naissances
Jean-Baptiste,640 naissances
Kylian,640 naissances
Adeline,639 naissances
Mélina,634 naissances
Titouan,632 naissances
Joris,619 naissances
Melvin,619 naissances
Matéo,614 naissances
Lorenzo,614 naissances
Gwendoline,611 naissances
Marc,608 naissances
Anissa,608 naissances
Cindy,607 naissances
Teddy,604 naissances
Emilien,602 naissances
Flavie,600 naissances
