prenom,nbdenaissances
Lucas,7 069 naissances
Enzo,6 979 naissances
Emma,6 767 naissances
Nathan,6 437 naissances
Léa,5 755 naissances
Mathis,5 646 naissances
Jade,5 468 naissances
Manon,5 350 naissances
Chloé,5 068 naissances
Louis,5 058 naissances
Inès,4 733 naissances
Clara,4 530 naissances
Sarah,4 470 naissances
Hugo,4 420 naissances
Maxime,4 294 naissances
Jules,4 255 naissances
Thomas,4 235 naissances
Tom,4 185 naissances
Raphaël,4 179 naissances
Gabriel,4 136 naissances
Mathéo,4 127 naissances
Théo,4 102 naissances
Noah,4 031 naissances
Ethan,4 015 naissances
Clément,3 969 naissances
Yanis,3 869 naissances
Arthur,3 788 naissances
Lola,3 637 naissances
Léo,3 576 naissances
Zoé,3 497 naissances
Louise,3 353 naissances
Eva,3 328 naissances
Paul,3 323 naissances
Anaïs,3 233 naissances
Antoine,3 201 naissances
Lilou,3 176 naissances
Maëlys,3 160 naissances
Adam,3 137 naissances
Evan,3 130 naissances
Lucie,3 023 naissances
Baptiste,3 013 naissances
Alexandre,2 916 naissances
Romane,2 856 naissances
Axel,2 850 naissances
Quentin,2 823 naissances
Noa,2 811 naissances
Léna,2 690 naissances
Alexis,2 653 naissances
Maël,2 635 naissances
Maxence,2 606 naissances
Lina,2 583 naissances
Océane,2 566 naissances
Juliette,2 495 naissances
Timéo,2 466 naissances
Nolan,2 375 naissances
Louna,2 342 naissances
Noé,2 322 naissances
Marie,2 310 naissances
Mathilde,2 266 naissances
Célia,2 265 naissances
Sacha,2 216 naissances
Julie,2 181 naissances
Valentin,2 171 naissances
Jeanne,2 167 naissances
Lisa,2 125 naissances
Noémie,2 108 naissances
Rayan,2 105 naissances
Romain,2 103 naissances
Mohamed,2 100 naissances
Lou,2 071 naissances
Charlotte,2 048 naissances
Clémence,2 020 naissances
Laura,2 010 naissances
Ambre,2 004 naissances
Kylian,1 957 naissances
Mattéo,1 951 naissances
Pauline,1 936 naissances
Esteban,1 918 naissances
Mathys,1 907 naissances
Victor,1 896 naissances
Samuel,1 850 naissances
Gabin,1 811 naissances
Alicia,1 753 naissances
Maeva,1 752 naissances
Martin,1 724 naissances
Justine,1 718 naissances
Louane,1 675 naissances
Simon,1 671 naissances
Anna,1 649 naissances
Pierre,1 643 naissances
Mélissa,1 634 naissances
Lorenzo,1 623 naissances
Nina,1 610 naissances
Julien,1 594 naissances
Mathieu,1 587 naissances
Luna,1 577 naissances
Adrien,1 575 naissances
Maëlle,1 571 naissances
Margot,1 564 naissances
Lily,1 562 naissances
Benjamin,1 538 naissances
Alice,1 490 naissances
Lana,1 485 naissances
Lenny,1 484 naissances
Elisa,1 469 naissances
Elsa,1 463 naissances
Titouan,1 448 naissances
Julia,1 439 naissances
Margaux,1 426 naissances
Nicolas,1 424 naissances
Rose,1 388 naissances
Aaron,1 382 naissances
Emilie,1 378 naissances
Elise,1 362 naissances
