prenom,nbdenaissances
Stéphanie,23 525 naissances
Stéphane,18 514 naissances
David,17 883 naissances
Christophe,17 311 naissances
Frédéric,16 585 naissances
Sébastien,16 232 naissances
Sandrine,15 702 naissances
Jérôme,14 759 naissances
Nathalie,13 945 naissances
Olivier,12 150 naissances
Laurent,11 994 naissances
Isabelle,10 798 naissances
Virginie,10 542 naissances
Christelle,10 490 naissances
Céline,9 602 naissances
Karine,9 474 naissances
Valérie,8 830 naissances
Sophie,8 359 naissances
Eric,7 986 naissances
Nicolas,7 640 naissances
Séverine,7 640 naissances
Fabrice,7 240 naissances
Cédric,6 793 naissances
Franck,6 657 naissances
Sandra,6 545 naissances
Delphine,6 312 naissances
Arnaud,6 190 naissances
Sylvie,6 160 naissances
Philippe,5 979 naissances
Vincent,5 649 naissances
Véronique,5 290 naissances
Marie,5 196 naissances
Thierry,4 988 naissances
Pascal,4 850 naissances
Angélique,4 765 naissances
Michaël,4 687 naissances
Sonia,4 570 naissances
Laurence,4 548 naissances
Carole,4 387 naissances
Catherine,4 374 naissances
Caroline,4 298 naissances
Cécile,4 279 naissances
Cyril,4 261 naissances
Anne,4 245 naissances
Emmanuel,4 147 naissances
Sylvain,3 855 naissances
Magali,3 839 naissances
Laëtitia,3 704 naissances
Carine,3 700 naissances
Christine,3 684 naissances
Bruno,3 642 naissances
Fabien,3 616 naissances
Florence,3 579 naissances
Xavier,3 517 naissances
Ludovic,3 505 naissances
Jean,3 462 naissances
Mickael,3 442 naissances
Alexandre,3 407 naissances
Guillaume,3 381 naissances
Corinne,3 352 naissances
François,3 289 naissances
Patricia,3 286 naissances
Yannick,3 283 naissances
Fabienne,3 133 naissances
Alexandra,3 087 naissances
Hervé,3 016 naissances
Benoit,3 012 naissances
Yann,2 995 naissances
Hélène,2 951 naissances
Grégory,2 945 naissances
Patrick,2 903 naissances
Marc,2 778 naissances
Lionel,2 774 naissances
Estelle,2 710 naissances
Raphaël,2 681 naissances
Béatrice,2 665 naissances
Patrice,2 635 naissances
Pierre,2 603 naissances
Nadège,2 420 naissances
Sabine,2 341 naissances
Thomas,2 315 naissances
Emmanuelle,2 312 naissances
Nadia,2 298 naissances
Peggy,2 288 naissances
Cyrille,2 248 naissances
Géraldine,2 224 naissances
Julien,2 217 naissances
Jean-François,2 189 naissances
Michel,2 153 naissances
Myriam,1 998 naissances
Damien,1 976 naissances
Claire,1 965 naissances
Alain,1 960 naissances
Anthony,1 954 naissances
Gilles,1 934 naissances
Dominique,1 932 naissances
Christian,1 927 naissances
Didier,1 882 naissances
Muriel,1 869 naissances
Gaëlle,1 853 naissances
Bertrand,1 835 naissances
Daniel,1 819 naissances
Samuel,1 792 naissances
Laure,1 791 naissances
Elisabeth,1 766 naissances
Vanessa,1 708 naissances
Denis,1 689 naissances
Agnès,1 686 naissances
Frédérique,1 676 naissances
Ingrid,1 658 naissances
Natacha,1 606 naissances
Audrey,1 603 naissances
Maria,1 580 naissances
Richard,1 577 naissances
Katia,1 535 naissances
Gérald,1 488 naissances
José,1 469 naissances
Loïc,1 458 naissances
Sabrina,1 426 naissances
Antoine,1 337 naissances
Régis,1 301 naissances
Jean-Philippe,1 295 naissances
Karim,1 278 naissances
Tony,1 259 naissances
Lydie,1 214 naissances
Pascale,1 168 naissances
Cathy,1 168 naissances
Jean-Marc,1 162 naissances
Magalie,1 159 naissances
Sarah,1 152 naissances
Mathieu,1 151 naissances
Jean-Michel,1 127 naissances
Linda,1 124 naissances
Rachel,1 120 naissances
Françoise,1 111 naissances
Marie-Laure,1 083 naissances
Joël,1 055 naissances
Bénédicte,1 053 naissances
William,1 049 naissances
Elodie,1 039 naissances
Barbara,1 039 naissances
Fanny,1 035 naissances
Nadine,1 030 naissances
Jean-Christophe,1 025 naissances
Aline,1 022 naissances
Julie,1 005 naissances
Anne-Sophie,996 naissances
Aurélie,996 naissances
Mohamed,991 naissances
Florent,990 naissances
Christel,978 naissances
Jean-Pierre,971 naissances
Manuel,958 naissances
Romuald,953 naissances
Murielle,945 naissances
Claude,919 naissances
Romain,919 naissances
Serge,895 naissances
Benjamin,883 naissances
Jean-Luc,869 naissances
Maryline,863 naissances
Martine,859 naissances
Johann,853 naissances
Nelly,823 naissances
Mikaël,823 naissances
Marina,815 naissances
Brigitte,812 naissances
Dominique,805 naissances
Gaël,802 naissances
Mélanie,775 naissances
Matthieu,774 naissances
Maud,753 naissances
Willy,741 naissances
Aude,739 naissances
