prenom,nbdenaissances
Sébastien,19 466 naissances
Nicolas,15 227 naissances
Stéphanie,15 064 naissances
David,13 575 naissances
Frédéric,12 083 naissances
Céline,12 019 naissances
Christophe,11 864 naissances
Jérôme,11 138 naissances
Stéphane,11 084 naissances
Sandrine,11 060 naissances
Virginie,9 642 naissances
Olivier,8 666 naissances
Laurent,8 301 naissances
Nathalie,8 046 naissances
Cédric,7 997 naissances
Séverine,7 655 naissances
Delphine,7 500 naissances
Sophie,7 388 naissances
Christelle,7 316 naissances
Laëtitia,7 210 naissances
Ludovic,6 734 naissances
Karine,6 339 naissances
Vincent,6 094 naissances
Guillaume,5 887 naissances
Sandra,5 831 naissances
Isabelle,5 662 naissances
Julien,5 626 naissances
Caroline,5 470 naissances
Marie,5 250 naissances
Audrey,5 152 naissances
Alexandre,4 939 naissances
Grégory,4 904 naissances
Arnaud,4 726 naissances
Cécile,4 574 naissances
Valérie,4 435 naissances
Franck,4 418 naissances
Sylvain,4 416 naissances
Michaël,4 399 naissances
Aurélie,4 363 naissances
Benoit,4 355 naissances
Eric,4 352 naissances
Mickael,4 247 naissances
Fabrice,4 127 naissances
Angélique,4 046 naissances
Anne,3 890 naissances
Magali,3 810 naissances
Philippe,3 628 naissances
Sylvie,3 618 naissances
Vanessa,3 590 naissances
Emmanuel,3 469 naissances
Cyril,3 457 naissances
Fabien,3 447 naissances
Sonia,3 443 naissances
Alexandra,3 325 naissances
Carole,3 196 naissances
Thomas,3 166 naissances
Xavier,3 151 naissances
Florence,3 149 naissances
Véronique,3 081 naissances
Mathieu,3 022 naissances
Carine,3 010 naissances
Emmanuelle,3 002 naissances
François,2 971 naissances
Hélène,2 902 naissances
Laurence,2 854 naissances
Damien,2 850 naissances
Jean,2 810 naissances
Anthony,2 772 naissances
Catherine,2 772 naissances
Yann,2 739 naissances
Pierre,2 683 naissances
Pascal,2 660 naissances
Thierry,2 571 naissances
Julie,2 567 naissances
Sabrina,2 554 naissances
Estelle,2 496 naissances
Nadia,2 486 naissances
Yannick,2 469 naissances
Gaëlle,2 427 naissances
Bruno,2 425 naissances
Mélanie,2 370 naissances
Claire,2 278 naissances
Fanny,2 152 naissances
Nadège,2 148 naissances
Lionel,2 138 naissances
Matthieu,2 101 naissances
Christine,2 035 naissances
Samuel,2 022 naissances
Peggy,2 001 naissances
Loïc,1 970 naissances
