prenom,nbdenaissances
Sébastien,19 105 naissances
Nicolas,13 536 naissances
David,12 235 naissances
Céline,12 127 naissances
Stéphanie,12 083 naissances
Jérôme,10 605 naissances
Cédric,10 591 naissances
Frédéric,10 378 naissances
Christophe,10 361 naissances
Virginie,9 480 naissances
Sandrine,9 193 naissances
Stéphane,8 741 naissances
Julien,8 528 naissances
Laëtitia,8 141 naissances
Olivier,7 860 naissances
Laurent,7 475 naissances
Delphine,7 118 naissances
Guillaume,6 667 naissances
Séverine,6 616 naissances
Christelle,6 564 naissances
Sophie,6 556 naissances
Nathalie,6 543 naissances
Caroline,6 253 naissances
Sabrina,6 187 naissances
Aurélie,6 165 naissances
Ludovic,6 144 naissances
Marie,6 042 naissances
Vincent,5 772 naissances
Audrey,5 445 naissances
Alexandre,5 214 naissances
Isabelle,5 168 naissances
Sandra,4 987 naissances
Arnaud,4 887 naissances
Karine,4 739 naissances
Mickael,4 729 naissances
Alexandra,4 693 naissances
Grégory,4 511 naissances
Michaël,4 415 naissances
Vanessa,4 242 naissances
Benoit,4 180 naissances
Anne,4 136 naissances
Cécile,4 101 naissances
Franck,3 978 naissances
Valérie,3 919 naissances
Eric,3 881 naissances
Sylvain,3 880 naissances
Angélique,3 713 naissances
Thomas,3 675 naissances
Magali,3 674 naissances
Emilie,3 633 naissances
Julie,3 604 naissances
Fabrice,3 591 naissances
Jean,3 486 naissances
Mathieu,3 471 naissances
Fabien,3 455 naissances
Cyril,3 445 naissances
Emmanuel,3 344 naissances
Philippe,3 314 naissances
François,3 227 naissances
Pierre,3 207 naissances
Damien,3 199 naissances
Hélène,3 169 naissances
Yann,3 019 naissances
Sonia,2 989 naissances
Carole,2 880 naissances
Anthony,2 852 naissances
Sylvie,2 847 naissances
Carine,2 842 naissances
Xavier,2 710 naissances
Mélanie,2 676 naissances
Florence,2 640 naissances
Véronique,2 557 naissances
Emmanuelle,2 516 naissances
Laurence,2 441 naissances
Gaëlle,2 431 naissances
Yannick,2 423 naissances
Estelle,2 365 naissances
Aurore,2 309 naissances
Claire,2 303 naissances
Matthieu,2 303 naissances
Catherine,2 300 naissances
Nadège,2 269 naissances
Nadia,2 260 naissances
Pascal,2 243 naissances
Bruno,2 177 naissances
Romain,2 088 naissances
Elodie,2 070 naissances
Marc,2 069 naissances
Thierry,2 038 naissances
Géraldine,2 008 naissances
Benjamin,1 984 naissances
Samuel,1 970 naissances
Laure,1 946 naissances
Lionel,1 908 naissances
Myriam,1 892 naissances
Loïc,1 881 naissances
Antoine,1 872 naissances
Jérémy,1 707 naissances
Fanny,1 669 naissances
Christine,1 656 naissances
Bertrand,1 633 naissances
Peggy,1 606 naissances
Patrick,1 567 naissances
Florent,1 532 naissances
Raphaël,1 511 naissances
Ingrid,1 508 naissances
Jennifer,1 500 naissances
Magalie,1 479 naissances
Patrice,1 445 naissances
Aurélien,1 404 naissances
Fabienne,1 396 naissances
Cindy,1 387 naissances
Patricia,1 374 naissances
Michel,1 370 naissances
Sarah,1 354 naissances
Hervé,1 332 naissances
Cyrille,1 330 naissances
Sabine,1 329 naissances
Mohamed,1 319 naissances
Aude,1 313 naissances
Natacha,1 305 naissances
Jean-François,1 299 naissances
Jessica,1 292 naissances
Karim,1 282 naissances
Béatrice,1 275 naissances
Gilles,1 270 naissances
Corinne,1 252 naissances
Maxime,1 240 naissances
Tony,1 233 naissances
Marion,1 203 naissances
Marjorie,1 182 naissances
Amélie,1 169 naissances
Linda,1 141 naissances
Adeline,1 131 naissances
Yoann,1 130 naissances
Didier,1 123 naissances
Anne-Sophie,1 113 naissances
Aline,1 103 naissances
Daniel,1 091 naissances
Frédérique,1 082 naissances
Marina,1 078 naissances
Elisabeth,1 077 naissances
Ludivine,1 062 naissances
Agnès,1 062 naissances
Régis,1 053 naissances
Mikaël,1 047 naissances
Jean-Philippe,1 010 naissances
Jérémie,1 003 naissances
Maud,1 001 naissances
Gérald,995 naissances
Denis,987 naissances
Christian,980 naissances
Steve,965 naissances
Amandine,963 naissances
Dominique,952 naissances
Muriel,949 naissances
Bénédicte,933 naissances
Alain,931 naissances
Lydie,929 naissances
Katia,925 naissances
Charlotte,924 naissances
Alexis,919 naissances
Rachel,918 naissances
Jean-Baptiste,864 naissances
Richard,864 naissances
William,863 naissances
Nelly,854 naissances
Yohann,843 naissances
Gwenaëlle,837 naissances
Elise,830 naissances
Jimmy,822 naissances
Manuel,815 naissances
Johann,812 naissances
Jonathan,810 naissances
Maryline,797 naissances
Gaël,796 naissances
Renaud,790 naissances
Mathilde,767 naissances
Sylvia,761 naissances
Marie-Laure,760 naissances
Alice,758 naissances
Cathy,757 naissances
Johan,750 naissances
Gaétan,744 naissances
Coralie,731 naissances
Charles,728 naissances
Rémi,717 naissances
Dorothée,712 naissances
Lucie,710 naissances
Romuald,709 naissances
Kevin,708 naissances
Marlène,700 naissances
Jean-Christophe,700 naissances
Barbara,697 naissances
Mehdi,697 naissances
José,685 naissances
