prenom,nbdenaissances
Gabriel,5 444 naissances
Raphaël,4 857 naissances
Léo,4 735 naissances
Louis,4 422 naissances
Emma,4 393 naissances
Lucas,3 983 naissances
Jade,3 975 naissances
Adam,3 907 naissances
Louise,3 781 naissances
Arthur,3 753 naissances
Jules,3 702 naissances
Hugo,3 690 naissances
Maël,3 497 naissances
Ethan,3 347 naissances
Alice,3 314 naissances
Chloé,3 228 naissances
Liam,3 178 naissances
Inès,3 148 naissances
Paul,2 994 naissances
Lina,2 928 naissances
Nathan,2 918 naissances
Léa,2 886 naissances
Gabin,2 799 naissances
Sacha,2 762 naissances
Rose,2 720 naissances
Noah,2 624 naissances
Léna,2 616 naissances
Anna,2 609 naissances
Mila,2 583 naissances
Tom,2 581 naissances
Mohamed,2 483 naissances
Mia,2 433 naissances
Ambre,2 352 naissances
Elena,2 330 naissances
Julia,2 317 naissances
Théo,2 273 naissances
Aaron,2 253 naissances
Eden,2 224 naissances
Noé,2 212 naissances
Timéo,2 206 naissances
Manon,2 177 naissances
Juliette,2 163 naissances
Victor,2 118 naissances
Martin,2 116 naissances
Mathis,2 112 naissances
Lou,2 107 naissances
Zoé,2 095 naissances
Nolan,2 087 naissances
Enzo,2 074 naissances
Lola,2 010 naissances
Eva,2 002 naissances
Axel,1 992 naissances
Agathe,1 959 naissances
Jeanne,1 940 naissances
Léon,1 935 naissances
Antoine,1 895 naissances
Naël,1 879 naissances
Lucie,1 879 naissances
Marius,1 852 naissances
Robin,1 819 naissances
Nina,1 782 naissances
Sarah,1 757 naissances
Romane,1 738 naissances
Inaya,1 729 naissances
Valentin,1 704 naissances
Charlotte,1 657 naissances
Clément,1 642 naissances
Léonie,1 630 naissances
Samuel,1 595 naissances
Rayan,1 593 naissances
Baptiste,1 587 naissances
Tiago,1 585 naissances
Amir,1 559 naissances
Augustin,1 537 naissances
Adèle,1 527 naissances
Romy,1 500 naissances
Iris,1 483 naissances
Maxime,1 481 naissances
Luna,1 478 naissances
Louna,1 465 naissances
Eliott,1 452 naissances
Sofia,1 442 naissances
Maxence,1 437 naissances
Margaux,1 437 naissances
Léana,1 427 naissances
Mathéo,1 425 naissances
Gaspard,1 424 naissances
Evan,1 397 naissances
Clémence,1 380 naissances
Alexandre,1 378 naissances
Isaac,1 377 naissances
Olivia,1 366 naissances
Yanis,1 358 naissances
Elise,1 349 naissances
Victoria,1 318 naissances
Simon,1 290 naissances
