prenom,nbdenaissances
Gabriel,4 998 naissances
Léo,4 609 naissances
Raphaël,4 138 naissances
Jade,3 797 naissances
Louise,3 775 naissances
Louis,3 717 naissances
Maël,3 613 naissances
Arthur,3 598 naissances
Jules,3 594 naissances
Noah,3 386 naissances
Emma,3 209 naissances
Adam,3 153 naissances
Lucas,3 061 naissances
Ambre,3 017 naissances
Hugo,2 905 naissances
Alice,2 771 naissances
Gabin,2 718 naissances
Liam,2 703 naissances
Rose,2 702 naissances
Sacha,2 633 naissances
Mia,2 613 naissances
Eden,2 564 naissances
Anna,2 514 naissances
Alba,2 505 naissances
Aaron,2 497 naissances
Romy,2 447 naissances
Léon,2 422 naissances
Lina,2 371 naissances
Léna,2 364 naissances
Isaac,2 325 naissances
Noé,2 317 naissances
Paul,2 291 naissances
Nathan,2 289 naissances
Naël,2 274 naissances
Chloé,2 259 naissances
Julia,2 224 naissances
Lou,2 223 naissances
Ethan,2 221 naissances
Mohamed,2 185 naissances
Léa,2 105 naissances
Inès,2 026 naissances
Agathe,2 020 naissances
Iris,2 007 naissances
Elena,1 993 naissances
Tom,1 991 naissances
Théo,1 942 naissances
Malo,1 933 naissances
Zoé,1 915 naissances
Eva,1 911 naissances
Nina,1 896 naissances
Inaya,1 883 naissances
Marius,1 867 naissances
Juliette,1 867 naissances
Nino,1 840 naissances
Marceau,1 833 naissances
Mathis,1 809 naissances
Victor,1 769 naissances
Ayden,1 762 naissances
Léonie,1 750 naissances
Luna,1 747 naissances
Jeanne,1 729 naissances
Milo,1 725 naissances
Martin,1 715 naissances
Mila,1 710 naissances
Adèle,1 683 naissances
Tiago,1 658 naissances
Robin,1 655 naissances
Victoire,1 649 naissances
Imrân,1 633 naissances
Elio,1 598 naissances
Timéo,1 596 naissances
Olivia,1 596 naissances
Eliott,1 588 naissances
Axel,1 571 naissances
Lola,1 547 naissances
Lyam,1 541 naissances
Victoria,1 537 naissances
Enzo,1 504 naissances
Lucie,1 492 naissances
Margaux,1 473 naissances
Giulia,1 459 naissances
Romane,1 458 naissances
Antoine,1 447 naissances
Nolan,1 439 naissances
Augustin,1 430 naissances
Sofia,1 382 naissances
Gaspard,1 380 naissances
Valentin,1 363 naissances
Noûr,1 363 naissances
Charlotte,1 350 naissances
Emy,1 335 naissances
Amir,1 312 naissances
Samuel,1 310 naissances
Côme,1 301 naissances
Ismaël,1 292 naissances
Ibrahim,1 250 naissances
Rayan,1 247 naissances
Lyana,1 237 naissances
Margot,1 225 naissances
Sarah,1 216 naissances
Louna,1 210 naissances
Sohan,1 195 naissances
Mathéo,1 190 naissances
Mya,1 187 naissances
Kaïs,1 181 naissances
Manon,1 177 naissances
Yanis,1 177 naissances
Simon,1 161 naissances
Lya,1 159 naissances
Evan,1 136 naissances
Léandre,1 128 naissances
Maxence,1 127 naissances
Capucine,1 102 naissances
Ava,1 100 naissances
Alessio,1 098 naissances
Camille,1 095 naissances
Clément,1 092 naissances
Elise,1 080 naissances
Théa,1 073 naissances
Soan,1 070 naissances
Alma,1 068 naissances
Rafaël,1 067 naissances
Clémence,1 041 naissances
Maé,1 038 naissances
Alya,1 027 naissances
Pablo,1 021 naissances
Owen,1 000 naissances
Alexandre,993 naissances
Nélya,983 naissances
Baptiste,970 naissances
Naïm,969 naissances
Maxime,961 naissances
Mahé,951 naissances
Oscar,946 naissances
Aya,939 naissances
Clara,928 naissances
Lyna,927 naissances
Mattéo,926 naissances
Ilyès,926 naissances
Noa,917 naissances
Charly,910 naissances
Basile,907 naissances
Joseph,907 naissances
Diego,907 naissances
Gabrielle,904 naissances
Livio,895 naissances
Lenny,877 naissances
Yasmine,865 naissances
Maëlys,852 naissances
Lily,849 naissances
Ella,843 naissances
Livia,842 naissances
Apolline,841 naissances
Ilyan,840 naissances
Amélia,839 naissances
Lana,832 naissances
Assia,830 naissances
Céleste,827 naissances
Milàn,822 naissances
Thomas,819 naissances
Zélie,819 naissances
Noâm,815 naissances
Lila,812 naissances
Kayden,803 naissances
Albane,795 naissances
Ezio,794 naissances
Ali,788 naissances
Roxane,787 naissances
Roméo,781 naissances
Lise,776 naissances
Marin,771 naissances
Charlie,771 naissances
Maria,767 naissances
Maya,758 naissances
Charles,757 naissances
Auguste,757 naissances
Andréa,757 naissances
Aylan,756 naissances
Joy,749 naissances
Mathilde,731 naissances
Timothée,731 naissances
Alicia,727 naissances
Anas,725 naissances
