prenom,nbdenaissances
Léa,8 963 naissances
Lucas,8 288 naissances
Théo,7 857 naissances
Hugo,7 385 naissances
Manon,6 901 naissances
Thomas,6 853 naissances
Enzo,6 740 naissances
Emma,6 219 naissances
Chloé,5 787 naissances
Maxime,5 258 naissances
Alexandre,5 104 naissances
Océane,4 852 naissances
Inès,4 835 naissances
Marie,4 813 naissances
Mathis,4 753 naissances
Nathan,4 729 naissances
Clara,4 694 naissances
Antoine,4 614 naissances
Clément,4 608 naissances
Romain,4 541 naissances
Sarah,4 511 naissances
Alexis,4 485 naissances
Louis,4 354 naissances
Quentin,4 155 naissances
Léo,4 124 naissances
Nicolas,3 913 naissances
Anaïs,3 912 naissances
Tom,3 853 naissances
Baptiste,3 758 naissances
Paul,3 625 naissances
Julie,3 572 naissances
Lucie,3 512 naissances
Valentin,3 384 naissances
Jade,3 368 naissances
Eva,3 328 naissances
Arthur,3 313 naissances
Laura,3 299 naissances
Axel,3 215 naissances
Mathilde,3 210 naissances
Julien,3 124 naissances
Pauline,3 091 naissances
Mattéo,3 069 naissances
Lisa,3 052 naissances
Lola,2 823 naissances
Marine,2 771 naissances
Mathéo,2 723 naissances
Justine,2 696 naissances
Benjamin,2 675 naissances
Jules,2 663 naissances
Pierre,2 650 naissances
Juliette,2 636 naissances
Yanis,2 587 naissances
Maeva,2 559 naissances
Florian,2 539 naissances
Dylan,2 480 naissances
Raphaël,2 430 naissances
Adrien,2 406 naissances
Kevin,2 385 naissances
Corentin,2 381 naissances
Maxence,2 369 naissances
Mathieu,2 362 naissances
Romane,2 352 naissances
Célia,2 334 naissances
Noémie,2 331 naissances
Charlotte,2 307 naissances
Elisa,2 288 naissances
Anthony,2 284 naissances
Victor,2 275 naissances
Louise,2 223 naissances
Léna,2 207 naissances
Jeanne,2 147 naissances
Emilie,2 079 naissances
Morgane,2 078 naissances
Zoé,2 064 naissances
Noah,1 988 naissances
Gabriel,1 982 naissances
Marion,1 944 naissances
Lou,1 936 naissances
Carla,1 915 naissances
Alice,1 906 naissances
Killian,1 855 naissances
Amandine,1 849 naissances
Simon,1 846 naissances
Guillaume,1 836 naissances
Dorian,1 829 naissances
Margaux,1 818 naissances
Samuel,1 815 naissances
Bastien,1 815 naissances
Clémence,1 779 naissances
Lilou,1 760 naissances
Mélissa,1 743 naissances
Mohamed,1 689 naissances
Tristan,1 669 naissances
Elise,1 635 naissances
Alicia,1 628 naissances
Ambre,1 623 naissances
Vincent,1 609 naissances
Margot,1 597 naissances
Rayan,1 567 naissances
Jérémy,1 564 naissances
Martin,1 533 naissances
Kylian,1 525 naissances
Amélie,1 518 naissances
Evan,1 510 naissances
Maëlle,1 499 naissances
Thibault,1 486 naissances
Ethan,1 480 naissances
Matéo,1 446 naissances
Rémi,1 430 naissances
Agathe,1 414 naissances
Maëlys,1 406 naissances
Maël,1 404 naissances
Erwan,1 400 naissances
Matthieu,1 389 naissances
Jordan,1 378 naissances
Damien,1 355 naissances
Anna,1 347 naissances
Antonin,1 347 naissances
Loïc,1 326 naissances
