prenom,nbdenaissances
Gabriel,5 665 naissances
Jules,5 153 naissances
Raphaël,5 124 naissances
Léo,5 101 naissances
Lucas,5 029 naissances
Louis,4 759 naissances
Louise,4 548 naissances
Adam,4 540 naissances
Emma,4 419 naissances
Hugo,4 351 naissances
Ethan,4 336 naissances
Jade,4 304 naissances
Chloé,4 180 naissances
Inès,3 957 naissances
Nathan,3 870 naissances
Arthur,3 692 naissances
Léa,3 670 naissances
Paul,3 656 naissances
Manon,3 532 naissances
Nolan,3 522 naissances
Liam,3 518 naissances
Alice,3 340 naissances
Timéo,3 301 naissances
Maël,3 251 naissances
Théo,3 236 naissances
Lina,3 207 naissances
Léna,3 177 naissances
Enzo,3 098 naissances
Lola,3 061 naissances
Sacha,3 059 naissances
Tom,2 983 naissances
Zoé,2 870 naissances
Noah,2 720 naissances
Gabin,2 632 naissances
Mohamed,2 612 naissances
Mathis,2 610 naissances
Sarah,2 542 naissances
Clément,2 533 naissances
Anna,2 508 naissances
Lucie,2 458 naissances
Mila,2 383 naissances
Julia,2 353 naissances
Juliette,2 345 naissances
Rose,2 308 naissances
Axel,2 306 naissances
Ambre,2 287 naissances
Noé,2 265 naissances
Maxime,2 225 naissances
Baptiste,2 217 naissances
Eva,2 185 naissances
Louna,2 170 naissances
Aaron,2 156 naissances
Martin,2 127 naissances
Elena,2 117 naissances
Antoine,2 110 naissances
Romane,2 046 naissances
Victor,2 035 naissances
Yanis,2 018 naissances
Maëlys,2 014 naissances
Rayan,1 999 naissances
Jeanne,1 994 naissances
Mathéo,1 990 naissances
Thomas,1 976 naissances
Valentin,1 932 naissances
Clara,1 887 naissances
Robin,1 864 naissances
Nina,1 851 naissances
Evan,1 844 naissances
Louane,1 823 naissances
Léonie,1 804 naissances
Maxence,1 793 naissances
Lou,1 791 naissances
Lilou,1 757 naissances
Alexandre,1 734 naissances
Anaïs,1 732 naissances
Inaya,1 698 naissances
Eden,1 683 naissances
Clémence,1 665 naissances
Margaux,1 653 naissances
Charlotte,1 647 naissances
Naël,1 593 naissances
Marius,1 586 naissances
Mia,1 580 naissances
Lenny,1 577 naissances
Agathe,1 573 naissances
Adèle,1 529 naissances
Simon,1 523 naissances
Alexis,1 517 naissances
Samuel,1 497 naissances
Léon,1 493 naissances
Elsa,1 479 naissances
Lana,1 451 naissances
Tiago,1 433 naissances
Sofia,1 407 naissances
Rafaël,1 369 naissances
Augustin,1 345 naissances
Léana,1 328 naissances
Elise,1 318 naissances
Olivia,1 318 naissances
Kaïs,1 317 naissances
Gaspard,1 309 naissances
Mathilde,1 300 naissances
Alicia,1 296 naissances
Margot,1 279 naissances
Esteban,1 259 naissances
Noémie,1 245 naissances
Ilyès,1 211 naissances
Eliott,1 206 naissances
Giulia,1 197 naissances
Capucine,1 190 naissances
Aya,1 188 naissances
Victoria,1 180 naissances
Mélina,1 179 naissances
Lorenzo,1 161 naissances
Yasmine,1 151 naissances
Luna,1 134 naissances
Nino,1 124 naissances
Ibrahim,1 123 naissances
Noa,1 121 naissances
Lily,1 121 naissances
Pauline,1 114 naissances
Imrân,1 108 naissances
Lisa,1 095 naissances
Célia,1 092 naissances
Mathys,1 090 naissances
Lyam,1 077 naissances
Camille,1 068 naissances
Ismaël,1 066 naissances
Malo,1 053 naissances
Marie,1 045 naissances
Emy,1 034 naissances
Mattéo,1 025 naissances
Elisa,1 019 naissances
Assia,1 009 naissances
Noâm,1 006 naissances
Youssef,998 naissances
Valentine,994 naissances
Benjamin,993 naissances
Lya,992 naissances
Isaac,986 naissances
Amine,976 naissances
Eloïse,974 naissances
Adrien,969 naissances
Ayoub,959 naissances
