prenom,nbdenaissances
Nicolas,21 803 naissances
Sébastien,16 478 naissances
Julien,13 895 naissances
Céline,12 858 naissances
Emilie,11 885 naissances
Aurélie,11 202 naissances
David,10 194 naissances
Virginie,9 950 naissances
Christophe,9 478 naissances
Stéphanie,9 323 naissances
Cédric,9 304 naissances
Frédéric,8 680 naissances
Jérôme,8 583 naissances
Laëtitia,8 052 naissances
Guillaume,7 901 naissances
Marie,7 396 naissances
Sabrina,7 228 naissances
Olivier,7 192 naissances
Audrey,7 169 naissances
Sandrine,7 143 naissances
Vincent,7 093 naissances
Alexandre,6 993 naissances
Delphine,6 561 naissances
Stéphane,6 554 naissances
Sophie,6 349 naissances
Caroline,6 042 naissances
Laurent,5 750 naissances
Ludovic,5 584 naissances
Julie,5 245 naissances
Nathalie,5 243 naissances
Mickael,5 235 naissances
Elodie,5 167 naissances
Christelle,4 904 naissances
Grégory,4 860 naissances
Thomas,4 851 naissances
Angélique,4 849 naissances
Séverine,4 842 naissances
Sylvain,4 759 naissances
Arnaud,4 747 naissances
Mélanie,4 657 naissances
Benoit,4 625 naissances
Isabelle,4 589 naissances
Vanessa,4 422 naissances
Cécile,4 408 naissances
Anthony,4 362 naissances
Mathieu,4 312 naissances
Sandra,4 052 naissances
Damien,4 049 naissances
Fabien,4 044 naissances
Alexandra,4 017 naissances
Michaël,3 967 naissances
Pierre,3 954 naissances
Anne,3 947 naissances
Emmanuelle,3 844 naissances
Emmanuel,3 779 naissances
Benjamin,3 757 naissances
Jean,3 741 naissances
Hélène,3 723 naissances
Cyril,3 683 naissances
François,3 669 naissances
Magali,3 572 naissances
Romain,3 502 naissances
Karine,3 430 naissances
Fabrice,3 198 naissances
Franck,3 198 naissances
Aurélien,3 154 naissances
Eric,3 122 naissances
Philippe,3 011 naissances
Jérémy,2 893 naissances
Xavier,2 857 naissances
Sonia,2 855 naissances
Valérie,2 850 naissances
Aurore,2 843 naissances
Gaëlle,2 797 naissances
Yannick,2 755 naissances
Claire,2 753 naissances
Matthieu,2 655 naissances
Yann,2 621 naissances
Cindy,2 553 naissances
Florence,2 545 naissances
Adeline,2 450 naissances
Antoine,2 336 naissances
Samuel,2 310 naissances
Loïc,2 296 naissances
Marc,2 279 naissances
Carole,2 270 naissances
Aline,2 220 naissances
Jonathan,2 185 naissances
Laure,2 133 naissances
Sylvie,2 122 naissances
Carine,2 108 naissances
Fanny,2 096 naissances
Amélie,2 094 naissances
Amandine,2 007 naissances
Nadège,1 964 naissances
Bruno,1 957 naissances
Florent,1 940 naissances
Marion,1 916 naissances
Pascal,1 903 naissances
Nadia,1 895 naissances
Véronique,1 893 naissances
Géraldine,1 867 naissances
Myriam,1 834 naissances
Jennifer,1 801 naissances
Laurence,1 773 naissances
Florian,1 771 naissances
Catherine,1 751 naissances
Lionel,1 744 naissances
