prenom,nbdenaissances
Léa,10 702 naissances
Thomas,10 105 naissances
Lucas,9 037 naissances
Théo,8 857 naissances
Manon,7 575 naissances
Hugo,7 049 naissances
Chloé,7 021 naissances
Maxime,6 596 naissances
Emma,6 377 naissances
Océane,5 715 naissances
Antoine,5 668 naissances
Nicolas,5 659 naissances
Marie,5 625 naissances
Quentin,5 594 naissances
Clément,5 585 naissances
Alexandre,5 542 naissances
Sarah,5 350 naissances
Alexis,5 258 naissances
Enzo,4 671 naissances
Laura,4 577 naissances
Clara,4 484 naissances
Julie,4 471 naissances
Mathilde,4 405 naissances
Julien,4 385 naissances
Valentin,4 307 naissances
Lucie,4 202 naissances
Paul,4 189 naissances
Léo,4 181 naissances
Inès,4 167 naissances
Louis,4 127 naissances
Romain,3 946 naissances
Pauline,3 940 naissances
Benjamin,3 915 naissances
Florian,3 866 naissances
Tom,3 788 naissances
Marine,3 766 naissances
Baptiste,3 745 naissances
Anaïs,3 717 naissances
Pierre,3 618 naissances
Lisa,3 600 naissances
Arthur,3 554 naissances
Adrien,3 397 naissances
Anthony,3 383 naissances
Dylan,3 367 naissances
Nathan,3 331 naissances
Maeva,3 270 naissances
Kevin,3 240 naissances
Justine,3 043 naissances
Mathieu,2 990 naissances
Corentin,2 984 naissances
Charlotte,2 909 naissances
Mathis,2 875 naissances
Eva,2 834 naissances
Axel,2 828 naissances
Juliette,2 793 naissances
Guillaume,2 792 naissances
Emilie,2 647 naissances
Jade,2 590 naissances
Morgane,2 506 naissances
Victor,2 500 naissances
Marion,2 457 naissances
Louise,2 433 naissances
Mattéo,2 384 naissances
Jules,2 340 naissances
Margaux,2 334 naissances
Célia,2 313 naissances
Clémence,2 271 naissances
Vincent,2 230 naissances
Noémie,2 202 naissances
Mélissa,2 186 naissances
Elisa,2 178 naissances
Samuel,2 170 naissances
Jérémy,2 123 naissances
Simon,2 095 naissances
Amandine,2 094 naissances
Maxence,2 093 naissances
Amélie,2 056 naissances
Bastien,2 002 naissances
Loïc,1 996 naissances
Yanis,1 986 naissances
Jeanne,1 974 naissances
Romane,1 969 naissances
Alice,1 969 naissances
Damien,1 959 naissances
Elise,1 906 naissances
Tristan,1 866 naissances
Zoé,1 851 naissances
Raphaël,1 844 naissances
Rémi,1 803 naissances
