prenom,nbdenaissances
Enzo,7 956 naissances
Léa,7 385 naissances
Lucas,6 819 naissances
Emma,6 622 naissances
Théo,6 495 naissances
Thomas,6 455 naissances
Manon,6 268 naissances
Hugo,6 150 naissances
Mathis,5 707 naissances
Chloé,5 437 naissances
Clara,5 363 naissances
Nathan,5 030 naissances
Maxime,4 760 naissances
Inès,4 673 naissances
Sarah,4 511 naissances
Océane,4 455 naissances
Clément,4 354 naissances
Louis,4 304 naissances
Romain,4 291 naissances
Alexis,4 259 naissances
Léo,4 161 naissances
Alexandre,4 158 naissances
Marie,4 157 naissances
Tom,4 071 naissances
Quentin,4 061 naissances
Antoine,4 005 naissances
Mathéo,3 879 naissances
Baptiste,3 796 naissances
Jade,3 663 naissances
Mattéo,3 608 naissances
Paul,3 479 naissances
Anaïs,3 457 naissances
Lucie,3 447 naissances
Yanis,3 357 naissances
Julie,3 279 naissances
Laura,3 249 naissances
Nicolas,3 219 naissances
Axel,3 208 naissances
Arthur,3 155 naissances
Raphaël,3 153 naissances
Eva,3 148 naissances
Valentin,3 022 naissances
Lola,2 987 naissances
Lisa,2 940 naissances
Jules,2 852 naissances
Pauline,2 794 naissances
Mathilde,2 766 naissances
Julien,2 755 naissances
Maxence,2 668 naissances
Romane,2 635 naissances
Pierre,2 615 naissances
Noah,2 588 naissances
Juliette,2 566 naissances
Célia,2 514 naissances
Benjamin,2 469 naissances
Léna,2 451 naissances
Dylan,2 368 naissances
Noémie,2 352 naissances
Mathieu,2 350 naissances
Adrien,2 347 naissances
Justine,2 315 naissances
Lou,2 299 naissances
Zoé,2 278 naissances
Gabriel,2 263 naissances
Charlotte,2 260 naissances
Florian,2 240 naissances
Maeva,2 225 naissances
Louise,2 183 naissances
Morgane,2 142 naissances
Jeanne,2 133 naissances
Corentin,2 129 naissances
Marine,2 102 naissances
Lilou,2 097 naissances
Victor,2 083 naissances
Ethan,2 069 naissances
Evan,2 013 naissances
Carla,2 007 naissances
Emilie,1 952 naissances
Elisa,1 925 naissances
Simon,1 915 naissances
Kevin,1 915 naissances
Anthony,1 888 naissances
Ambre,1 840 naissances
Samuel,1 790 naissances
Dorian,1 763 naissances
Mohamed,1 761 naissances
Alicia,1 750 naissances
Maël,1 742 naissances
Mélissa,1 730 naissances
Alice,1 721 naissances
Margot,1 706 naissances
Tristan,1 697 naissances
Clémence,1 685 naissances
Elise,1 678 naissances
Maëlys,1 657 naissances
Killian,1 648 naissances
Rayan,1 644 naissances
Kylian,1 637 naissances
Amandine,1 633 naissances
Margaux,1 631 naissances
Adam,1 596 naissances
Maëlle,1 571 naissances
Bastien,1 558 naissances
Matéo,1 530 naissances
Marion,1 512 naissances
Guillaume,1 505 naissances
Ilona,1 494 naissances
Martin,1 483 naissances
Candice,1 468 naissances
Lina,1 431 naissances
Sacha,1 425 naissances
Noé,1 415 naissances
Thibault,1 399 naissances
Mathys,1 396 naissances
Erwan,1 395 naissances
Anna,1 378 naissances
Mathias,1 370 naissances
Agathe,1 368 naissances
Robin,1 358 naissances
Esteban,1 357 naissances
Amélie,1 336 naissances
Noa,1 325 naissances
Matthieu,1 295 naissances
Cassandra,1 265 naissances
Elsa,1 251 naissances
Antonin,1 249 naissances
Titouan,1 248 naissances
Rémi,1 247 naissances
Vincent,1 222 naissances
Louna,1 185 naissances
Eloïse,1 155 naissances
Elodie,1 152 naissances
Nina,1 152 naissances
Loïc,1 149 naissances
Damien,1 148 naissances
Gabin,1 118 naissances
Lenny,1 114 naissances
Flavie,1 109 naissances
Jérémy,1 109 naissances
William,1 096 naissances
Lilian,1 093 naissances
Anaëlle,1 093 naissances
Jordan,1 089 naissances
Solène,1 087 naissances
Aurélien,1 086 naissances
Fanny,1 082 naissances
Valentine,1 073 naissances
Yann,1 067 naissances
Lukas,1 060 naissances
Julia,1 053 naissances
Ryan,1 036 naissances
Yasmine,1 025 naissances
Mehdi,1 021 naissances
Lana,1 016 naissances
Léane,1 013 naissances
Nolan,1 012 naissances
Bryan,1 003 naissances
Axelle,1 001 naissances
Laurine,979 naissances
Salomé,969 naissances
Lorenzo,966 naissances
David,963 naissances
Victoria,955 naissances
Loane,945 naissances
Logan,942 naissances
Louane,939 naissances
Coralie,934 naissances
Sofia,929 naissances
Léonie,908 naissances
Amine,907 naissances
Jean,892 naissances
Coline,888 naissances
Charles,874 naissances
Alexia,870 naissances
Audrey,849 naissances
Emeline,841 naissances
Mélanie,840 naissances
Andréa,840 naissances
Sofiane,836 naissances
Thibaut,829 naissances
Cloé,811 naissances
Jonathan,789 naissances
Claire,788 naissances
Gaétan,784 naissances
Clarisse,769 naissances
Alex,768 naissances
Myriam,767 naissances
Luna,767 naissances
Eliott,765 naissances
Marius,759 naissances
Sara,759 naissances
Mélina,753 naissances
Alan,722 naissances
Capucine,716 naissances
Tony,707 naissances
Adèle,706 naissances
Lise,697 naissances
Sébastien,689 naissances
Estelle,680 naissances
Lou-Anne,671 naissances
Clémentine,668 naissances
Yassine,650 naissances
Olivia,649 naissances
Bilal,645 naissances
Elena,642 naissances
