prenom,nbdenaissances
Lucas,5 478 naissances
Gabriel,5 370 naissances
Léo,5 093 naissances
Louis,4 999 naissances
Hugo,4 899 naissances
Raphaël,4 831 naissances
Jade,4 697 naissances
Jules,4 679 naissances
Louise,4 643 naissances
Ethan,4 600 naissances
Adam,4 569 naissances
Chloé,4 556 naissances
Emma,4 517 naissances
Inès,4 251 naissances
Nathan,4 159 naissances
Léa,4 136 naissances
Nolan,4 064 naissances
Arthur,3 857 naissances
Manon,3 830 naissances
Enzo,3 739 naissances
Paul,3 700 naissances
Timéo,3 559 naissances
Lola,3 513 naissances
Léna,3 475 naissances
Maël,3 447 naissances
Lina,3 360 naissances
Zoé,3 304 naissances
Théo,3 260 naissances
Alice,3 244 naissances
Sacha,3 158 naissances
Tom,3 108 naissances
Liam,3 071 naissances
Mathis,2 984 naissances
Noah,2 944 naissances
Clément,2 887 naissances
Sarah,2 761 naissances
Mohamed,2 657 naissances
Gabin,2 605 naissances
Maxime,2 580 naissances
Lucie,2 468 naissances
Axel,2 462 naissances
Eva,2 408 naissances
Noé,2 408 naissances
Julia,2 309 naissances
Juliette,2 306 naissances
Maëlys,2 280 naissances
Ambre,2 236 naissances
Anna,2 236 naissances
Antoine,2 222 naissances
Yanis,2 220 naissances
Baptiste,2 215 naissances
Mathéo,2 213 naissances
Rose,2 204 naissances
Thomas,2 180 naissances
Louna,2 176 naissances
Lilou,2 124 naissances
Clara,2 088 naissances
Romane,2 084 naissances
Victor,2 062 naissances
Evan,2 058 naissances
Aaron,2 054 naissances
Jeanne,2 038 naissances
Anaïs,1 979 naissances
Maxence,1 976 naissances
Robin,1 970 naissances
Valentin,1 950 naissances
Mila,1 927 naissances
Rayan,1 924 naissances
Elena,1 895 naissances
Nina,1 879 naissances
Lou,1 864 naissances
Martin,1 862 naissances
Alexandre,1 818 naissances
Léonie,1 776 naissances
Margaux,1 752 naissances
Clémence,1 743 naissances
Lana,1 741 naissances
Eden,1 731 naissances
Naël,1 680 naissances
Samuel,1 664 naissances
Alexis,1 639 naissances
Simon,1 616 naissances
Lenny,1 581 naissances
Charlotte,1 578 naissances
Louane,1 560 naissances
