prenom,nbdenaissances
Julien,15 229 naissances
Nicolas,13 586 naissances
Aurélie,12 891 naissances
Sébastien,10 399 naissances
Emilie,10 020 naissances
Guillaume,9 380 naissances
Elodie,9 095 naissances
Céline,9 000 naissances
Julie,8 448 naissances
Audrey,8 286 naissances
Jonathan,7 593 naissances
David,7 546 naissances
Marie,7 525 naissances
Laëtitia,7 514 naissances
Stéphanie,7 093 naissances
Thomas,6 824 naissances
Romain,6 663 naissances
Mathieu,6 485 naissances
Anthony,6 450 naissances
Vincent,6 309 naissances
Mickael,6 215 naissances
Damien,6 173 naissances
Cédric,6 152 naissances
Alexandre,6 072 naissances
Christophe,5 925 naissances
Fabien,5 919 naissances
Jérémy,5 834 naissances
Grégory,5 717 naissances
Virginie,5 694 naissances
Sophie,5 610 naissances
Jérôme,5 499 naissances
Jennifer,5 360 naissances
Jessica,4 963 naissances
Mélanie,4 910 naissances
Caroline,4 756 naissances
Ludovic,4 578 naissances
Frédéric,4 490 naissances
Benjamin,4 420 naissances
Sabrina,4 340 naissances
Pierre,4 331 naissances
Vanessa,4 223 naissances
Amandine,4 169 naissances
Sylvain,4 020 naissances
Claire,3 930 naissances
Marion,3 860 naissances
Angélique,3 855 naissances
Michaël,3 838 naissances
Stéphane,3 821 naissances
Olivier,3 821 naissances
Laurent,3 770 naissances
Arnaud,3 682 naissances
Aurélien,3 676 naissances
Cindy,3 613 naissances
Delphine,3 596 naissances
Cécile,3 461 naissances
Nathalie,3 429 naissances
Benoit,3 428 naissances
Matthieu,3 359 naissances
Christelle,3 335 naissances
Amélie,3 293 naissances
Sandrine,3 220 naissances
Maxime,3 143 naissances
Loïc,3 088 naissances
Lucie,3 073 naissances
Hélène,3 007 naissances
Jean,2 962 naissances
Kevin,2 942 naissances
Alexandra,2 934 naissances
Florian,2 922 naissances
François,2 908 naissances
Fanny,2 820 naissances
Antoine,2 788 naissances
Pauline,2 743 naissances
Cyril,2 643 naissances
Aurore,2 601 naissances
Gaëlle,2 582 naissances
Anne,2 579 naissances
Sandra,2 557 naissances
Sarah,2 509 naissances
Laure,2 417 naissances
Rémi,2 353 naissances
Laura,2 275 naissances
Xavier,2 242 naissances
Isabelle,2 239 naissances
Adrien,2 226 naissances
Florent,2 157 naissances
Clément,2 125 naissances
Franck,2 105 naissances
Yannick,2 096 naissances
Sonia,2 047 naissances
Emmanuel,2 028 naissances
Séverine,2 008 naissances
Adeline,2 002 naissances
Charlotte,1 957 naissances
Yoann,1 934 naissances
Magali,1 875 naissances
Camille,1 875 naissances
Yann,1 854 naissances
Christopher,1 825 naissances
Emmanuelle,1 822 naissances
Mohamed,1 767 naissances
Philippe,1 753 naissances
Eric,1 713 naissances
Aline,1 690 naissances
Mathilde,1 681 naissances
Ludivine,1 655 naissances
Estelle,1 646 naissances
Marc,1 638 naissances
Alexis,1 629 naissances
Florence,1 584 naissances
Elise,1 566 naissances
Samuel,1 551 naissances
Carole,1 502 naissances
Karine,1 499 naissances
Fabrice,1 466 naissances
Coralie,1 453 naissances
Raphaël,1 447 naissances
Anaïs,1 444 naissances
Lionel,1 425 naissances
Jérémie,1 413 naissances
Valérie,1 392 naissances
Nadège,1 380 naissances
Bruno,1 355 naissances
Tony,1 342 naissances
Rémy,1 341 naissances
Nadia,1 328 naissances
Aude,1 311 naissances
Myriam,1 294 naissances
Karim,1 267 naissances
Simon,1 244 naissances
Alice,1 218 naissances
Jean-Baptiste,1 207 naissances
Anne-Sophie,1 187 naissances
Johan,1 183 naissances
Marine,1 183 naissances
Marjorie,1 172 naissances
Maud,1 152 naissances
Gaétan,1 151 naissances
Jimmy,1 150 naissances
Anne-Laure,1 106 naissances
Baptiste,1 100 naissances
Géraldine,1 095 naissances
Thibault,1 084 naissances
Laurie,1 075 naissances
Carine,1 073 naissances
Charles,1 049 naissances
Mehdi,1 047 naissances
Linda,1 035 naissances
Morgane,1 031 naissances
Noémie,1 008 naissances
Chloé,1 007 naissances
Pascal,1 005 naissances
Gaël,1 003 naissances
Steve,1 003 naissances
Marina,992 naissances
Nelly,986 naissances
Thierry,981 naissances
William,977 naissances
Marlène,960 naissances
Magalie,958 naissances
Paul,958 naissances
Charlène,948 naissances
Yohann,925 naissances
Sylvie,920 naissances
Brice,916 naissances
Emeline,914 naissances
Laurence,913 naissances
Natacha,901 naissances
Catherine,898 naissances
Dimitri,894 naissances
Bertrand,886 naissances
Priscilla,875 naissances
Geoffrey,864 naissances
Michel,845 naissances
Renaud,844 naissances
Ophélie,839 naissances
Yohan,836 naissances
Ingrid,835 naissances
Véronique,835 naissances
Lydie,819 naissances
Aurélia,818 naissances
