prenom,nbdenaissances
Gabriel,5 450 naissances
Emma,4 838 naissances
Raphaël,4 663 naissances
Léo,4 509 naissances
Louis,4 413 naissances
Adam,4 185 naissances
Jules,4 183 naissances
Lucas,4 074 naissances
Louise,4 053 naissances
Jade,4 036 naissances
Hugo,3 713 naissances
Maël,3 711 naissances
Ethan,3 528 naissances
Arthur,3 481 naissances
Nathan,3 435 naissances
Liam,3 412 naissances
Alice,3 386 naissances
Chloé,3 372 naissances
Inès,3 251 naissances
Paul,3 153 naissances
Léa,3 065 naissances
Lina,3 016 naissances
Mila,2 909 naissances
Tom,2 840 naissances
Manon,2 798 naissances
Léna,2 765 naissances
Sacha,2 745 naissances
Noah,2 707 naissances
Gabin,2 687 naissances
Nolan,2 666 naissances
Enzo,2 592 naissances
Mohamed,2 524 naissances
Rose,2 508 naissances
Timéo,2 497 naissances
Anna,2 494 naissances
Zoé,2 433 naissances
Théo,2 416 naissances
Aaron,2 383 naissances
Lola,2 347 naissances
Ambre,2 238 naissances
Mathis,2 169 naissances
Mia,2 158 naissances
Juliette,2 151 naissances
Noé,2 127 naissances
Julia,2 121 naissances
Axel,2 116 naissances
Victor,2 088 naissances
Elena,2 078 naissances
Lou,2 059 naissances
Antoine,2 045 naissances
Valentin,2 043 naissances
Sarah,2 037 naissances
Lucie,2 007 naissances
Jeanne,1 991 naissances
Martin,1 982 naissances
Eden,1 974 naissances
Eva,1 969 naissances
Naël,1 869 naissances
Romane,1 864 naissances
Clément,1 860 naissances
Rayan,1 820 naissances
Robin,1 815 naissances
Marius,1 814 naissances
Agathe,1 787 naissances
Nina,1 769 naissances
Léon,1 753 naissances
Baptiste,1 716 naissances
Léonie,1 692 naissances
Maxime,1 688 naissances
Charlotte,1 673 naissances
Samuel,1 672 naissances
Inaya,1 660 naissances
Evan,1 572 naissances
Mathéo,1 568 naissances
Yanis,1 552 naissances
Eliott,1 539 naissances
Sofia,1 531 naissances
Margaux,1 530 naissances
Maëlys,1 507 naissances
Augustin,1 506 naissances
Louna,1 492 naissances
Maxence,1 492 naissances
Luna,1 442 naissances
Clara,1 435 naissances
Elise,1 421 naissances
Alexandre,1 412 naissances
Léana,1 410 naissances
Thomas,1 386 naissances
Simon,1 369 naissances
Gaspard,1 358 naissances
Adèle,1 353 naissances
Amir,1 338 naissances
Tiago,1 335 naissances
Clémence,1 328 naissances
Rafaël,1 316 naissances
Lilou,1 285 naissances
Olivia,1 283 naissances
Isaac,1 277 naissances
Anaïs,1 267 naissances
Lana,1 242 naissances
Ibrahim,1 239 naissances
Nino,1 222 naissances
Lenny,1 215 naissances
Lyam,1 206 naissances
Kaïs,1 202 naissances
Capucine,1 196 naissances
Ismaël,1 192 naissances
Imrân,1 188 naissances
Victoria,1 178 naissances
Aya,1 177 naissances
Malo,1 173 naissances
Théa,1 163 naissances
Mathilde,1 158 naissances
Margot,1 142 naissances
Iris,1 134 naissances
Esteban,1 126 naissances
Ilyès,1 124 naissances
Alicia,1 124 naissances
Giulia,1 122 naissances
Romy,1 106 naissances
Marceau,1 074 naissances
Noûr,1 071 naissances
Alexis,1 068 naissances
Camille,1 047 naissances
Yasmine,1 043 naissances
Victoire,1 035 naissances
Noa,1 031 naissances
Noâm,1 029 naissances
Noémie,1 023 naissances
Emy,1 023 naissances
Mélina,1 018 naissances
Lya,1 013 naissances
Assia,1 008 naissances
Elsa,997 naissances
Mya,996 naissances
Oscar,980 naissances
Mathys,970 naissances
Ayden,953 naissances
Lise,949 naissances
Lorenzo,940 naissances
Kylian,939 naissances
Lily,931 naissances
Lisa,918 naissances
Naïm,912 naissances
Lyna,902 naissances
Mattéo,892 naissances
Eloïse,885 naissances
Côme,881 naissances
Marie,878 naissances
Soline,870 naissances
Adrien,866 naissances
Apolline,863 naissances
Younès,861 naissances
Amine,852 naissances
Wassim,848 naissances
Gabrielle,847 naissances
Soan,842 naissances
Héloïse,837 naissances
Milàn,831 naissances
Valentine,830 naissances
Youssef,819 naissances
Milo,810 naissances
Ayoub,808 naissances
Benjamin,807 naissances
Joseph,804 naissances
Célia,802 naissances
Léandre,794 naissances
Owen,794 naissances
Océane,793 naissances
Ali,792 naissances
Louane,786 naissances
Elisa,777 naissances
Diego,776 naissances
William,774 naissances
Candice,773 naissances
Jean,767 naissances
Thaïs,766 naissances
Faustine,765 naissances
Pauline,765 naissances
Adem,758 naissances
Salomé,754 naissances
Louka,753 naissances
Amélia,750 naissances
Bastien,750 naissances
Noham,747 naissances
Antonin,745 naissances
Logan,743 naissances
Maya,733 naissances
Kenzo,733 naissances
Eléonore,730 naissances
Elio,725 naissances
Elina,721 naissances
Nahïl,720 naissances
Sandro,716 naissances
Maria,715 naissances
David,714 naissances
Roxane,713 naissances
Elias,708 naissances
Constance,708 naissances
Charles,707 naissances
Zélie,706 naissances
Lila,706 naissances
Sohan,704 naissances
Sara,692 naissances
Ruben,688 naissances
Léandro,681 naissances
Maïssa,674 naissances
Emmy,673 naissances
Julian,673 naissances
Lyana,670 naissances
Alya,668 naissances
Livia,668 naissances
Charly,662 naissances
Timothée,659 naissances
Basile,655 naissances
Pierre,654 naissances
Maryam,652 naissances
Maëlle,650 naissances
Issa,645 naissances
Anaé,642 naissances
Pablo,639 naissances
Sasha,620 naissances
Maeva,619 naissances
Myla,618 naissances
Manël,618 naissances
Thibault,612 naissances
Hamza,610 naissances
Mahé,608 naissances
Malone,607 naissances
Timothé,607 naissances
Nassim,599 naissances
Anas,593 naissances
Nathanaël,593 naissances
Laura,593 naissances
Mélissa,592 naissances
Justine,583 naissances
Louisa,579 naissances
Eléa,574 naissances
Anaëlle,574 naissances
Léane,568 naissances
Lucien,566 naissances
Thiago,565 naissances
Auguste,564 naissances
Emilie,562 naissances
Ewen,559 naissances
Yassine,552 naissances
Selma,549 naissances
Abel,544 naissances
Matéo,542 naissances
Zakaria,539 naissances
Lison,539 naissances
Loan,538 naissances
Kenza,538 naissances
Alban,534 naissances
Marcel,532 naissances
Aymen,532 naissances
Quentin,530 naissances
Joséphine,529 naissances
Mehdi,528 naissances
Ismaïl,526 naissances
Nora,525 naissances
Aïcha,524 naissances
Méline,519 naissances
Leïla,518 naissances
Emile,516 naissances
Ahmed,515 naissances
Naëlle,507 naissances
Eline,507 naissances
Amina,506 naissances
Mathias,506 naissances
Charline,501 naissances
Corentin,501 naissances
Aliya,499 naissances
Hanna,492 naissances
Charlie,483 naissances
Céleste,482 naissances
Léonard,479 naissances
Suzanne,479 naissances
Alessio,478 naissances
Ninon,477 naissances
Garance,476 naissances
Dylan,475 naissances
Elya,474 naissances
Sophia,473 naissances
Julie,473 naissances
Ava,468 naissances
Marin,467 naissances
Luka,466 naissances
Roméo,466 naissances
