prenom,nbdenaissances
Enzo,7 488 naissances
Lucas,7 445 naissances
Emma,6 736 naissances
Nathan,6 624 naissances
Mathis,5 835 naissances
Léa,5 827 naissances
Clara,5 202 naissances
Chloé,5 142 naissances
Manon,5 050 naissances
Louis,4 835 naissances
Inès,4 775 naissances
Thomas,4 612 naissances
Hugo,4 599 naissances
Sarah,4 593 naissances
Jade,4 521 naissances
Théo,4 416 naissances
Raphaël,4 223 naissances
Mathéo,4 193 naissances
Yanis,4 171 naissances
Tom,4 118 naissances
Lola,3 991 naissances
Maxime,3 960 naissances
Clément,3 897 naissances
Gabriel,3 863 naissances
Ethan,3 651 naissances
Arthur,3 647 naissances
Noah,3 624 naissances
Léo,3 579 naissances
Jules,3 531 naissances
Anaïs,3 470 naissances
Alexandre,3 351 naissances
Paul,3 325 naissances
Antoine,3 301 naissances
Eva,3 238 naissances
Lucie,3 234 naissances
Romane,3 194 naissances
Maëlys,3 060 naissances
Océane,3 036 naissances
Louise,3 004 naissances
Baptiste,2 955 naissances
Evan,2 952 naissances
Alexis,2 931 naissances
Lilou,2 867 naissances
Axel,2 824 naissances
Quentin,2 823 naissances
Zoé,2 802 naissances
Adam,2 761 naissances
Marie,2 757 naissances
Noa,2 589 naissances
Maxence,2 556 naissances
Lisa,2 517 naissances
Mathilde,2 511 naissances
Léna,2 507 naissances
Juliette,2 480 naissances
Romain,2 448 naissances
Valentin,2 435 naissances
Julie,2 345 naissances
Lina,2 342 naissances
Célia,2 339 naissances
Maël,2 312 naissances
Mattéo,2 287 naissances
Laura,2 280 naissances
Lou,2 231 naissances
Charlotte,2 210 naissances
Sacha,2 206 naissances
Louna,2 167 naissances
Jeanne,2 093 naissances
Noémie,2 085 naissances
Mohamed,2 070 naissances
Clémence,2 067 naissances
Ambre,2 044 naissances
Kylian,2 032 naissances
Nicolas,2 011 naissances
Rayan,1 967 naissances
Julien,1 938 naissances
Samuel,1 912 naissances
Pauline,1 908 naissances
Nolan,1 880 naissances
Victor,1 875 naissances
Mathys,1 866 naissances
Timéo,1 855 naissances
Maeva,1 845 naissances
Esteban,1 804 naissances
Simon,1 802 naissances
Justine,1 794 naissances
Pierre,1 789 naissances
Adrien,1 765 naissances
Louane,1 731 naissances
Martin,1 730 naissances
Noé,1 711 naissances
Benjamin,1 648 naissances
Gabin,1 638 naissances
Dylan,1 627 naissances
Emilie,1 618 naissances
Mathieu,1 613 naissances
Carla,1 611 naissances
Mélissa,1 610 naissances
Alicia,1 584 naissances
Nina,1 582 naissances
Maëlle,1 568 naissances
Alice,1 536 naissances
Anna,1 520 naissances
Elisa,1 509 naissances
Lana,1 455 naissances
Margot,1 446 naissances
Corentin,1 441 naissances
Julia,1 437 naissances
Margaux,1 380 naissances
Titouan,1 378 naissances
Elsa,1 366 naissances
Mathias,1 353 naissances
Tristan,1 349 naissances
Florian,1 348 naissances
Robin,1 337 naissances
Elise,1 328 naissances
Léane,1 326 naissances
Luna,1 309 naissances
Lorenzo,1 293 naissances
Antonin,1 291 naissances
Erwan,1 274 naissances
Agathe,1 263 naissances
Lilian,1 211 naissances
Morgane,1 203 naissances
Bastien,1 201 naissances
Anthony,1 177 naissances
Amine,1 174 naissances
Lenny,1 165 naissances
Kevin,1 160 naissances
Matéo,1 148 naissances
Marine,1 140 naissances
